Día,Mes,Año,Estación climatológica más cercana,Municipio de origen,Provincia,Superficie forestal afectada (ha),IDGRUPOCAUSA,CAUSA,Temperatura máx,Temperatura (S/N),Humedad % 13h,Humedad (S/N),Velocidad racha máx viento (km/h),Velocidad (S/N),Cumple 30/30/30,Cumple 30/30 (2x)
15,6,2016,Xàtiva,Chella/Bolbaite,Valencia,1536,,,"35,8",S,17,S,63,S,S,S
16,6,2016,Xàtiva / Oliva,Carcaixent,Valencia,2210,,,"29,2",N,20,S,43,S,N,S
30,6,2016,Hellín,Liétor,Albacete,871,,,33,S,36,N,37,S,N,S
23,7,2016,Cáceres,Cáceres,Cáceres,1394,,,"33,9",S,22,S,42,S,S,S
25,7,2016,Almazora,Artana,Castellón,1534,,,"32,2",S,48,N,31,S,N,S
3,8,2016,La Palma Aeropuerto,El Paso (La Palma),S.C. Tenerife,4794,,,"25,4",N,66,N,52,S,N,N
10,8,2016,Santiago de Compostela,Santiago de Compostela,A Coruña,825,,,"24,1",N,29,S,46,S,N,S
10,8,2016,Monte Iroite / A Coruña,Porto do Son (Caamaño) ,A Coruña,730,,,"20,7",N,71,N,97,S,N,N
10,8,2016,Monte Iroite / A Coruña,Porto do Son (Xuño) ,A Coruña,870,,,"20,7",N,71,N,97,S,N,N
10,8,2016,Vigo Aeropuerto,Arbo,Pontevedra,1992,,,"30,7",S,27,S,48,S,S,S
18,8,2016,Plasencia,Jerte,Cáceres,1054,,,"34,5",S,38,N,30,S,N,S
25,8,2016,Pamplona / Pamplona Aeropuerto,Tafalla/Pueyo,Navarra,1455,,,"34,2",S,13,S,42,S,S,S
28,8,2016,Sevilla Aeropuerto,Castillo de las Guardas,Sevilla,1225,,,"37,8",S,39,N,45,S,N,S
4,9,2016,Jávea,Poble Nou de Benitatxel,Alicante,689,,,"35,9",S,30,S,53,S,S,S
5,9,2016,Xinzo de Limia,Muiños,Ourense,747,,,"34,6",S,29,S,27,N,N,S
6,9,2016,Xinzo de Limia,Oimbra,Ourense,1363,,,"36,9",S,25,S,58,S,S,S
6,9,2016,Xinzo de Limia,Entrimo,Ourense,2999,,,"36,9",S,25,S,58,S,S,S
12,9,2016,Xinzo de Limia,Cualedro,Ourense,1588,,,"30,9",S,31,S,54,S,S,S
12,9,2016,Ponferrada,Fabero,León,2621,,,33,S,30,S,34,S,S,S
12,9,2016,Lagunas de Somoza,Encinedo,León,811,,,"26,7",N,31,S,46,S,N,S
24,9,2016,Vitigudino / Salamanca Aeropuerto,Olmedo de Camaces,Salamanca,656,,,"28,1",N,24,S,33,S,N,S
3,11,2016,"Naut Aran, Arties",La Guingueta d’Aneu,Lleida,568,,,"20,3",N,34,N,18,N,N,N
14,5,2015,Jávea,Vall d’Ebo,Alicante,1715,,,"38,9",S,12,S,59,S,S,S
4,7,2015,Sos del Rey Católico,Luna,Zaragoza,8400,,,"36,4",S,27,S,71,S,S,S
