ID,serie,temporada,episodio,numero,estreno,,puntuacion,votos,imagen,fecha,hora
1,The Walking Dead,1,Days Gone Bye,1,5 Nov. 2010,,9.2,16996,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:51.373974
2,The Walking Dead,1,Guts,2,12 Nov. 2010,,8.7,10500,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:51.373974
3,The Walking Dead,1,Tell It to the Frogs,3,19 Nov. 2010,,8.3,9545,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:51.373974
4,The Walking Dead,1,Vatos,4,26 Nov. 2010,,8.6,9356,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:51.373974
5,The Walking Dead,1,Wildfire,5,3 Dec. 2010,,8.3,8931,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:51.373974
6,The Walking Dead,1,TS-19,6,10 Dec. 2010,,8.7,9828,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:51.373974
7,The Walking Dead,2,What Lies Ahead,1,17 Oct. 2011,,8.6,9013,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
8,The Walking Dead,2,Bloodletting,2,24 Oct. 2011,,8.1,8053,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
9,The Walking Dead,2,Save the Last One,3,31 Oct. 2011,,8.4,8073,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
10,The Walking Dead,2,Cherokee Rose,4,7 Nov. 2011,,7.7,7827,https://ia.media-imdb.com/images/M/MV5BMzNkMWNmZGUtNWFlZi00MTYwLWIwMjQtOGViN2QzNmI2MWYwXkEyXkFqcGdeQXVyODA1MDc5NjM@._V1_.jpg,4/25/2018,11:31:57.070327
