ID;TIPO;MOTIVO;DESTINO;PAÍS;FECHA INICIO;FECHA FIN;DÍAS;COSTE
89;Comisión Mixta para la Unión Europea;Reunión de la Red Parlamentaria Global de la OCDE;París;Francia;01/10/2015;01/10/2015;1;3544,77
88;;Foro de Jóvenes Parlamentarios;Bruselas;Bélgica;29/09/2015;01/10/2015;3;19144,32
87;Comisión de Economía y Competitividad;Conferencia de la Oficina Parlamentaria de Evaluación de las Opciones Científicas y Tecnológicas de la República Francesa;París;Francia;24/09/2015;24/09/2015;1;4178,05
86;Comisión de Interior;Reunión Interparlamentaria de Comisiones de la Comisión de Libertades del Parlamento Europeo;Bruselas;Bélgica;23/09/2015;23/09/2015;1;4562,20
85;Delegación española en la Asamblea Parlamentaria de la OTAN;Subcomisión sobre seguridad energética y medioambiental conjuntamente con Subcomisión sobre miembros asociados a la OTAN;Helsinki-Tallín;Finlandia-Estonia;21/09/2015;25/09/2015;5;5945,57
84;Delegación española en la Asamblea Parlamentaria del Consejo de Europa;Reunión de la Comisión para la Elección de Jueces;París;Francia;17/09/2015;17/09/2015;1;3486,37
83;Delegación española en la Asamblea Parlamentaria del Consejo de Europa;Reunión del Comité de Presidentes;Bruselas;Bélgica;16/09/2015;16/09/2015;1;687,96
82;Delegación española en la Asamblea Parlamentaria del Consejo de Europa;Reunión de la Comisión de Asuntos Sociales;París;Francia;11/09/2015;11/09/2015;1;3061,01
81;Delegación española en la Asamblea Parlamentaria del Consejo de Europa;Reunión de la Comisión de Igualdad;París;Francia;10/09/2015;10/09/2015;1;3890,01
79;;Entrevistas con autoridades de Cuba;La Habana;Cuba;03/09/2015;05/09/2015;3;40659,36
80;Delegación española en la Asamblea Parlamentaria del Consejo de Europa;Reunión de la Comisión de Seguimiento;Sarajevo;Bosnia-Herzegovina;03/09/2015;04/09/2015;2;7968,65
78;Comisión de Industria, Energía y Turismo;Congreso Internacional de Tecnologías de la Información y la Comunicación (ANDICOM 2015);Cartagena de Indias;Colombia;01/09/2015;04/09/2015;4;20705,83
76;Delegación española en la Unión Interparlamentaria;IV Conferencia de Presidentes de Parlamentos;Nueva York;Estados Unidos;31/08/2015;02/09/2015;3;16606,39
77;Delegación española en la Asamblea Parlamentaria del Consejo de Europa;Reunión del Bureau y de la Comisión Política;París;Francia;31/08/2015;01/09/2015;2;5199,42
75;Comisión de Sanidad y Asuntos Sociales;Desarrollo de la cooperación parlamentaria entre España e Irán;Teherán;Irán;30/08/2015;01/09/2015;3;14585,36
74;Cooperación Parlamentaria;Visita oficial al Parlamento Centroamericano, subsede de República Dominicana;Santo Domingo;República Dominicana;22/08/2015;24/08/2015;3;28223,48
73;;II Encuentro Interamericano de Presidentes de los Poderes Legislativos;Santiago de Chile;Chile;06/08/2015;07/08/2015;2;23364,65
72;Cooperación Parlamentaria;Encuentro Parlamentario Democracia y Desarrollo (8ª Conferencia Ministerial de la Comunidad de las Democracia 'Democracia y Desarrollo'), organizada por la Asamblea Legislativa de El Salvador;San Salvador;El Salvador;22/07/2015;24/07/2015;3;31049,75
