TERRITORIO;POBLACIÓN;>16 AÑOS;GOBIERNO;DINERO DESTINADO;MEDIDAS APROBADAS;VOTANTES;PORCENTAJE;COMENTARIOS;ENLACE;
Madrid;3.141.991;2.686.962;Confluencias;58.690.385;206;32.725;1,2%;;https://decide.madrid.es/participatory_budget;
Región de Murcia;1.469.596;1.195.951;PP;7.212.000;44;3.136;0,3%;;http://transparencia.carm.es/presupuestos-participativos;
Palma de Mallorca;400.578;336.087;PSOE;1.000.000;5;1.184;0,4%;;http://www.palma.cat/portal/PALMA/contenedor1.jsp?seccion=s_fnot_d4_v1.jsp&contenido=96465&tipo=8&nivel=1400&layout=contenedor1.jsp&language=es;http://www.palma.cat/portal/PALMA/contenedor1.jsp?seccion=s_fnot_d4_v1.jsp&contenido=97733&tipo=8&nivel=1400&layout=contenedor1.jsp&codResi=1&codMenu=1571&codMenuPN=1811&language=es
Gijón;274.290;241.257;FAC;6.000.000;34;2.534;1,1%;;https://presupuestosparticipativos.gijon.es/area.php?id=30;
Vitoria-Gasteiz;243.918;206.245;PNV;3.000.000;15;2.243;1,1%;8 programas son plurianuales (1,588 M€ en 2017 y 1,411 M€ en 2018);http://www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&idioma=es&uid=u_7d3c2313_1540dd3767b__7d90;
A Coruña;243.870;212.689;Confluencias;976.230;21;1.232;0,6%;;https://aportaaberta.coruna.es/participatory_budget/welcome?locale=es;
Elche/Elx;227.312;187.813;PSOE;1.000.000;152;3.658;1,9%;;http://elche.es/2016/11/un-total-de-3-658-ciudadanos-votan-los-presupuestos-participativos/;
Badalona;215.654;179.194;Confluencias;7.796.800;35;7.839;4,4%;votació del Pressupost d'inversions municipal (PIM) 2016-2019;http://test.consensus.cat/badalona/bdn/gestio/graf1.php;
Sabadell;207.814;172.033;ERC;1.194.000;12;6.154;3,5%;Podían votar mayores de 14 años (176.043);https://participacio.sabadell.cat/construint_ciutat/projectes;
Marbella;139.537;114.817;PSOE;2.000.000;;981;0,9%;;http://gobiernoabierto.marbella.es/participacion-ciudadana/presupuestos-participativos/propuestas-ciudadanas/item/103-resultado-de-la-votacion-de-las-propuestas-ciudadanas.html;
Valencia;786.189;669.702;Compromís;;;;;En trámite. Votación en febrero 2017 (7 M€);https://decidimvlc.valencia.es/participatory_budget/bienvenida;
Zaragoza;664.953;564.165;Confluencias;;;;;En trámite. Votación en marzo 2017 (5 M€);https://www.zaragoza.es/sede/servicio/presupuestos-participativos/;
Las Palmas de Gran Canaria;379.766;325.250;PSOE;;;;;Valoración de ideas ciudadanas;http://www.laspalmasgc.es/es/ayuntamiento/prensa-y-comunicacion/notas-de-prensa/nota-de-prensa/El-Ayuntamiento-valora-incluir-por-primera-vez-propuestas-ciudadanas-en-el-presupuesto-municipa/;
Bilbao;345.141;300.290;PNV;2.000.000;17;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.orain.eus/el-ayuntamiento-de-bilbao-aprueba-el-presupuesto-para-2017/;
Alicante/Alacant;328.648;275.550;PSOE;;;;;Para 2018;http://www.alicante.es/es/noticias/proceso-participativoreglamentos-presupuestos-participativos-y-participacion-ciudadana;
Valladolid;303.905;263.597;PSOE;;;;;Para 2018;http://www.eldiadevalladolid.com/Noticia/ZDB00F814-CCF1-4EA5-867458E6675F9A9F/Presupuestos-participativos-en-2018;
Oviedo;221.870;193.320;PSOE;;;;;En proceso de recogida de propuestas;http://www.consultaoviedo.es/proposals;
Cartagena;216.301;175.731;Confluencias;;;;;En trámite;http://www.cartagena.es/detalle_noticias.asp?id=39781&pagina=&c=&t=&d=&h=;
Móstoles;206.263;175.339;PSOE;;;;;En trámite. (1,7 M€);http://www.mostoles.es/es/noticias-1/destacados/gobierno-mostoles-presenta-presupuestos-eminentemente-socia;
Santa Cruz de Tenerife;203.811;174.754;CC;;;;;En proyecto (250.000 €);http://www.laopinion.es/santa-cruz-de-tenerife/2016/10/12/chicharreros-decidiran-invertir-250000-euros/713834.html;
Almería;194.203;159.340;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.aytoalmeria.es/db/www.nsf/0/A2196B3A3F4720C3C125805800510AA1;
Leganés;186.907;157.245;PSOE;;;;;En proceso de reincorporarlos;http://www.lafortunaymas.es/2016/02/24/el-ayuntamiento-de-leganes-presenta-los-presupuestos-a-las-asociaciones-vecinales/;
Burgos;177.100;149.856;PP;;;;;En proceso de incorporarlos;http://www.abc.es/espana/castilla-leon/abci-acuerdo-entre-pp-y-ciudadanos-devuelve-estabilidad-ayuntamiento-burgos-201701091021_noticia.html;
Getafe;174.921;145.915;PSOE;;;;;En trámite. Votación en junio 2017 (3,432 M€);https://participa.getafe.es/;
Santander;173.957;151.685;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://santander.es/estructura-del-portal-web/ayuntamiento;
Albacete;172.121;142.520;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://cadenaser.com/emisora/2016/12/21/radio_albacete/1482305848_628737.html;
Castellón de la Plana/Castelló de la Plana;171.669;143.111;PSOE;;;;;En retraso;http://www.castello.es/web30/pages/noticiagp_web10.php?id=cas&cod=10769;
Logroño;151.344;126.601;PP;1.768.100;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.xn--logroo-0wa.es/wps/portal/web/inicio/ayuntamiento/gabinetePrensa/notasPrensa/!ut/p/c5/hZLLbsIwEEW_hS_IxK-YpTEEm8Q4IYRSNiiVKpSKRxdVpf59HWgrCGI6szw64xnrRpso9LH5bHfNR3s6NvtoHW3Elo9d4bNpDGCkBKtoRdLcg3Yk8GexhQeloLPLhNdn2zsRg-ITAA-LWEt2sRF-Y8cZB0sLumDGUJaQvn3HbzanJmzuinzJWQ1jARcb4Y_tlAnU7vi17edkHH6NlEO38iTTpGff88e2zhlqdxyxfYzbgSM2AdwmgNkWv7vjeNZm0Wa3P72EVD51Ob2eZGQCVtRelvmMWid6fGqSMKss6WTkMkhJcuF_2ZH5cAJ2WVaxVgUA_-FYrrFdp7y_382ljIve-zBapeH9mTJqLm3FAPW1TlB-TtA_KZib0-E1ej_Uv7X-qmwb-o2pweAbL1fsWw!!/dl3/d3/L2dJQSEvUUt3QS9ZQnZ3LzZfNURNUE9LRzEwMEg4ODBJQTNTMkZMTzBDMzY!/?WCM_GLOBAL_CONTEXT=/web_es/logrono/secciones/ayuntamiento/gabinetePrensa/notasPrensa/242016110712;
Badajoz;149.892;123.497;PP;;;;;Para 2018;http://elcorreoextremadura.com/noticias_region/2016-12-16/1/20908/una-mesa-de-trabajo-realizara-a-partir-de-2017-los-primeros-presupuestos-participativos-del-ayuntamiento-de-badajoz.html;
Salamanca;146.438;127.305;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.lacronicadesalamanca.com/152457-que-paso-con-los-presupuestos-participativos-del-ayuntamiento/;
Huelva;146.318;120.994;PSOE;;;;;En tramitación de un reglamento;http://www.huelva.es/portal/es/noticias/el-ayuntamiento-eliminar%C3%A1-la-tasa-por-las-licencias-de-apertura-y-actividad-para-los;
Torrejón de Ardoz;126.934;103.482;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.ayto-torrejon.es/plantilla.asp?nPagina=1&ccClave=819;
Alcobendas;113.055;92.702;PP;;;;;En tramitación;http://www.alcobendas.org/recursos/doc/Documentales/Mociones_al_Pleno/948536529_911201684414.pdf;
Ourense;106.231;92.537;PP;;;;;Propuesta;http://www.laregion.es/articulo/ourense/concello-aprueba-mecanismo-fichen-empleados-municipales/20161007140335654512.html;
Barakaldo;100.228;86.442;PNV;;;;;En trámite. (1,1 M€);https://www.barakaldo.org/portal/web/economia-y-hacienda/presupuestos-2017/presupuestos-participativos;
Girona;97.586;79.713;CiU;;;;;En tramitación;http://www.lavanguardia.com/local/girona/20160601/402207967690/girona-proyectos-participativos-presupuestos.html;
Cáceres;95.617;79.967;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.regiondigital.com/noticias/caceres-y-provincia/263040-el-ayuntamiento-de-caceres-incorpora-una-veintena-de-propuestas-ciudadanas-a-los-presupuestos-de-2017.html;
Guadalajara;83.391;69.380;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.lacronica.net/un-presupuesto-del-ayuntamiento-de-guadalajara-para-2017-sin-sorpresas-y-70695.htm;
Ciudad Real;74.427;62.381;PSOE;;;;;;http://www.miciudadreal.es/2016/12/07/los-presupuestos-del-ayuntamiento-de-ciudad-real-para-2017-crecen-un-447-haciendo-hincapie-en-las-inversiones/;
Ávila;58.358;49.181;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.tribunaavila.com/noticias/el-ayuntamiento-invita-a-participar-en-la-elaboracion-de-los-presupuestos-de-2017-por-medio-de-la-web/1479830447;
Huesca;52.239;43.611;PSOE;;;;;En tramitación;http://www.radiohuesca.com/noticia/576433/El-Ayuntamiento-de-Huesca-contara-en-su-web-con-una-plataforma-de-participacion-ciudadana;
Soria;39.168;33.033;PSOE;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.soria.es/participacion-ciudadana-en-la-elaboracion-de-presupuestos-municipales;
Teruel;35.590;29.770;PP;;;;;Sin votación. Aportación de ciudadanos aprobadas por el Ayuntamiento;http://www.teruel.es/portalTeruel/p_1_final_Principal.jsp?seccion=s_fdoc_d4_v1.jsp&contenido=9976&tipo=5&nivel=1400&layout=%20&codResi=1&language=es&codMenu=13;
Barcelona;1.604.555;;Confluencias;;;;;;;
Sevilla;693.878;581.980;PSOE;;;;;;;
Málaga;569.130;471.645;PP;;;;;;;
Murcia;439.889;358.225;PP;;;;;;;
Córdoba;327.362;272.344;PSOE;;;;;;;
Vigo;294.098;252.809;PSOE;;;;;;;
L'Hospitalet de Llobregat;252.171;214.702;PSOE;;;;;;;
Granada;235.800;201.339;PSOE;;;;;;;
Terrassa;215.214;175.097;PSOE;;;;;;;
