FECHA DENUNCIA;EDAD;PUNTOS;TRAMITADO POR DGT DGT;TIPO VÍA
01Jan2011;29;6;NO;
01Jan2011;22;6;NO;
01Jan2011;20;6;NO;
01Jan2011;25;6;NO;
01Jan2011;20;6;NO;
01Jan2011;32;6;NO;
01Jan2011;28;6;NO;
01Jan2011;23;6;NO;
01Jan2011;23;6;NO;
01Jan2011;29;6;NO;
01Jan2011;20;6;NO;
01Jan2011;31;6;NO;
01Jan2011;30;6;NO;
01Jan2011;33;6;NO;
01Jan2011;28;6;NO;
01Jan2011;23;6;NO;
01Jan2011;25;6;NO;
01Jan2011;27;6;NO;
01Jan2011;18;6;NO;
01Jan2011;23;6;SI;Carretera Convencional
01Jan2011;38;6;SI;Carretera Convencional
01Jan2011;36;6;NO;
01Jan2011;24;6;SI;Carretera Convencional
01Jan2011;21;6;NO;
02Jan2011;24;6;NO;
02Jan2011;20;6;NO;
02Jan2011;43;6;NO;
02Jan2011;23;6;NO;
02Jan2011;18;6;NO;
02Jan2011;24;6;NO;
02Jan2011;27;6;NO;
02Jan2011;43;6;NO;
02Jan2011;22;6;NO;
02Jan2011;21;6;NO;
02Jan2011;20;6;NO;
02Jan2011;29;6;NO;
02Jan2011;30;6;NO;
02Jan2011;20;6;NO;
02Jan2011;22;6;NO;
03Jan2011;25;6;NO;
03Jan2011;21;6;NO;
03Jan2011;24;6;NO;
03Jan2011;35;6;SI;Carretera Convencional
03Jan2011;25;6;NO;
03Jan2011;34;6;NO;
03Jan2011;35;6;NO;
03Jan2011;39;6;NO;
03Jan2011;19;6;NO;
03Jan2011;32;6;NO;
04Jan2011;25;6;NO;
04Jan2011;19;6;SI;Carretera Convencional
04Jan2011;24;6;SI;Carretera Convencional
04Jan2011;24;6;NO;
04Jan2011;30;6;NO;
04Jan2011;27;6;SI;Carretera Convencional
04Jan2011;52;6;NO;
04Jan2011;21;6;NO;
05Jan2011;29;6;NO;
05Jan2011;28;6;NO;
05Jan2011;22;6;NO;
05Jan2011;26;6;NO;
05Jan2011;18;6;NO;
05Jan2011;19;6;NO;
06Jan2011;20;6;NO;
06Jan2011;32;6;NO;
06Jan2011;22;6;NO;
06Jan2011;22;6;NO;
06Jan2011;23;6;NO;
06Jan2011;35;6;NO;
06Jan2011;24;6;NO;
06Jan2011;18;6;NO;
06Jan2011;20;6;NO;
06Jan2011;20;6;NO;
07Jan2011;32;6;NO;
07Jan2011;53;6;SI;Autovía
07Jan2011;31;6;NO;
07Jan2011;24;6;NO;
07Jan2011;20;6;NO;
07Jan2011;35;6;NO;
07Jan2011;21;6;NO;
07Jan2011;35;6;NO;
07Jan2011;28;6;NO;
07Jan2011;26;6;NO;
07Jan2011;24;6;NO;
07Jan2011;19;6;NO;
07Jan2011;23;6;NO;
07Jan2011;21;6;NO;
07Jan2011;47;6;NO;
08Jan2011;24;6;NO;
08Jan2011;32;6;NO;
08Jan2011;31;6;NO;
08Jan2011;27;6;NO;
08Jan2011;27;6;NO;
08Jan2011;27;6;NO;
08Jan2011;19;6;NO;
08Jan2011;26;6;NO;
08Jan2011;22;6;NO;
08Jan2011;26;6;NO;
08Jan2011;28;6;NO;
08Jan2011;24;6;NO;
08Jan2011;27;6;NO;
08Jan2011;20;6;NO;
08Jan2011;39;6;NO;
08Jan2011;18;6;NO;
08Jan2011;28;6;NO;
08Jan2011;29;6;NO;
08Jan2011;24;6;SI;Carretera Convencional
08Jan2011;33;6;NO;
09Jan2011;38;6;NO;
09Jan2011;19;6;NO;
09Jan2011;23;6;NO;
09Jan2011;38;6;NO;
09Jan2011;19;6;NO;
09Jan2011;20;6;NO;
09Jan2011;19;6;NO;
09Jan2011;24;6;NO;
09Jan2011;29;6;NO;
09Jan2011;24;6;NO;
09Jan2011;26;6;NO;
09Jan2011;25;6;NO;
09Jan2011;;6;NO;
10Jan2011;33;6;NO;
10Jan2011;35;6;NO;
10Jan2011;25;6;NO;
10Jan2011;21;6;NO;
10Jan2011;17;6;NO;
10Jan2011;20;6;NO;
11Jan2011;23;6;NO;
11Jan2011;31;6;NO;
11Jan2011;30;6;NO;
11Jan2011;48;6;NO;
11Jan2011;40;6;NO;
12Jan2011;30;6;NO;
12Jan2011;21;6;NO;
12Jan2011;21;6;NO;
12Jan2011;30;6;NO;
12Jan2011;20;6;NO;
12Jan2011;25;6;NO;
12Jan2011;33;6;NO;
12Jan2011;27;6;NO;
12Jan2011;42;6;NO;
12Jan2011;38;6;NO;
12Jan2011;25;6;NO;
12Jan2011;18;6;NO;
13Jan2011;29;6;NO;
13Jan2011;24;6;NO;
13Jan2011;35;6;NO;
13Jan2011;18;6;NO;
13Jan2011;27;6;NO;
13Jan2011;32;6;NO;
13Jan2011;33;6;NO;
13Jan2011;23;6;NO;
13Jan2011;35;6;NO;
13Jan2011;30;6;NO;
13Jan2011;18;6;NO;
13Jan2011;24;6;SI;Carretera Convencional
13Jan2011;20;6;NO;
13Jan2011;25;6;NO;
14Jan2011;25;6;NO;
14Jan2011;20;6;NO;
14Jan2011;27;6;NO;
14Jan2011;27;6;NO;
14Jan2011;22;6;NO;
14Jan2011;33;6;NO;
14Jan2011;19;6;NO;
14Jan2011;25;6;NO;
14Jan2011;40;6;NO;
14Jan2011;23;6;NO;
15Jan2011;36;6;NO;
15Jan2011;19;6;NO;
15Jan2011;19;6;NO;
15Jan2011;27;6;NO;
15Jan2011;21;6;NO;
15Jan2011;23;6;NO;
15Jan2011;32;6;NO;
15Jan2011;26;6;NO;
15Jan2011;20;6;NO;
15Jan2011;24;6;NO;
15Jan2011;18;6;NO;
15Jan2011;21;6;NO;
15Jan2011;25;6;NO;
15Jan2011;39;6;NO;
15Jan2011;23;6;NO;
15Jan2011;36;6;NO;
15Jan2011;21;6;NO;
16Jan2011;29;6;NO;
16Jan2011;19;6;NO;
16Jan2011;24;6;SI;Carretera Convencional
16Jan2011;32;6;NO;
16Jan2011;21;6;NO;
16Jan2011;23;6;NO;
16Jan2011;22;6;NO;
16Jan2011;21;6;NO;
16Jan2011;25;6;NO;
16Jan2011;19;6;NO;
16Jan2011;26;6;SI;Carretera Convencional
16Jan2011;;6;SI;Carretera Convencional
16Jan2011;41;6;NO;
