ACTUACIONES DE EMERGENCIA PARA LA RESTAURACIÓN DE DAÑOS POR INCENDIOS FORESTALES EN EL PERÍODO 2004-2014,,,,,,,,,,
Año incendio,Denominación incendio,Provincia,CCAA,Fecha incendio,TTMM INCENDIO,FECHA DE ACCIÓN DE LA RESTAURACIÓN,INVERSION DE LAS ACCIONES (€),SUPERFICIERESTAURADA (HA),% SUPERFICIE RESTAURADA (HA)/SUPERFICIE FORESTAL AFECTADA (HA),ACCIONES REALIZADAS
2014*,I. VALL D'UIXÓ,CASTELLÓN,COM. VALENCIANA,20/07/2014,VALL D'UIXÓ,11/11/2014,"237.780,36","16,42",#REF!,"11,82 Ha de tratamientos selvícolas; 4,60 Ha de repoblación forestal; 11,82 Ha de construcción de fajinas; Reconstrucción de 93 albarradas de mampostería en seco (297,10 m3); Reparación de 155 metros lineales de bancales (93,00 m3); 319,88 m de mejora de pistas"
2014*,"I. MECERREYES, PUENTEDURA Y QUINTANILLA DEL AGUA",BURGOS,CASTILLA Y LEÓN,1/09/2014,MECERREYES,3/11/2014,"338.826,45","118,9","19,79%","- 118,90 Ha de tratamientos selvícolas- 118,90 Ha de repoblación forestal- 4.400 m de cerramiento ganadero- 13.300 m de apertura de pistas- 2.381 m de mejora de pista"
2014*,I. COGOLLUDO Y BUSTARES,GUADALAJARA,CASTILLA LA MANCHA,17/07/2014 y 18/07/2014,COGOLLUDO Y BUSTARES,3/11/2014,"495.702,48","219,57","8,63%","- 220,57 Ha de tratamientos selvícolas- 23,75 Ha de construcción de fajinas - 52 albarradas de madera y piedra- 50 m3 para la reparación de muros de contención"
2013,"I. ANDRAXT, ESTELLENCS Y CALVIÁ",PALMA DE MALLORCA,ISLAS BALEARES,26/07/2013,ANDRAXT,21/10/2013,"350.000,00","67,87","2,89%","­ 44,37 Ha de tratamientos selvícolas­ 4,00 Ha de repoblación forestal­ 18,50 Ha de construcción de fajinas­ 5.000 m de mejora de pistas- 49 trampas de feromonas- 1,00 Ha recuperada para cultivos agrícolas"
2012,I. COÍN,MÁLAGA,ANDALUCÍA,31/08/2012,COÍN,21/03/2013,"999.999,99€",,,"­ 276,10 Ha de tratamientos selvícolas­ 143,49 Ha de repoblación forestal­ 1 cartel de obra colocado"
2012,I. CÁLCENA,ZARAGOZA,ARAGÓN,27/08/2012,CÁLCENA,14/03/2013,"929.775,00","496,71","10,79%","­ 437,61 Ha de tratamientos selvícolas­ 59,10 Ha de repoblación forestal­ 2,00 Ha de construcción de fajinas­ 6.554 m de apertura de pistas- 4.475 m de mejora e pistas- 16.175 m de restauración de cortafuegos- Construcción de 1 depósito de agua- Construcción de charcas para la fauna y de majanos- Instalación de 5 abrevaderos y construcción de 1 aprisco"
2012,I. HELLÍN,ALBACETE,CASTILLA LA MANCHA,1/07/2012,HELLÍN,14/03/2013,"2.410.460,98",,,"­ 80,44 Ha de tratamientos selvícolas­ 36,15 Ha de repoblación forestal­ 468,59 Ha de construcción de fajinas y albarradas de madera­ 7.281,26 m3 de diques, albarradas y escolleras de mampostería- 33.700 m de mejora de pistas­ 54 trampas de feromonas- 1 cartel de obra colocado"
2012,I.CHEQUILLA,GUADALAJARA,CASTILLA LA MANCHA,1/08/2012,CHEQUILLA,14/03/2013,"453.013,00","92,58","8,30%","­ 92,58 Ha de tratamientos selvícolas­ 82,27 Ha de construcción de fajinas y albarradas de madera­ 9.970 m de mejora de pistas­ 1 cartel de obra colocado"
2012,I. CASTROCONTRIGO,LEÓN,CASTILLA Y LEÓN,20/08/2012,CASTROCONTRIGO,19/03/2013,"4.866.990,34€",,,"­ 1.911,85 Ha de tratamientos selvícolas­ 1.495,14 Ha de repoblación forestal­ 137.648 m de mejora de pistas­ 4.280 m de limpieza de cortafuegos­ Construcción de 1 balsa de agua y arreglo de otras existentes- 132 trampas de feromonas"
2012,I. PEDRALBA DE LA PRADERÍA Y PUEBLA DE SANABRIA,ZAMORA,CASTILLA Y LEÓN,22/09/2012,PEDRALBA DE LA PRADERÍA,14/03/2013,"478.260,00","230,02","8,95%","­ 5,63 Ha de tratamientos selvícolas­ 7.450 m de apertura de pistas­ 6.780 m de mejora de pistas­ Construcción de 3 pequeñas represas y de 4 charcas como mejora del hábitat para fauna- 17,08 Ha de mejora de pastizales- 778 m de canales de riego para la recuperación de turberas- 810 km de subsolado­ 1 cartel de obra colocado"
2012,I. LA JONQUERA,GERONA,CATALUÑA,22/07/2012,LA JONQUERA,20/03/2013,"1.760.204,31€",,,"­ 400,97 Ha de tratamientos selvícolas­ 6.500 m de apertura de pistas­ 132.900 m de mejora de pistas­ Construcción de 1 depósito de agua- 735 trampas de feronomas y 5 puntos cebo- Instalación de 12 abrevaderos- 3 carteles de obra y 3 carteles informativos colocados"
