Nombre,Propiedades,Lugar,LAT,LONG,Descripción 1,Descripción 2,Tipo,Estado de venta,Cantidad original,€,Comprador,,Link,Link venta,Info comprador
"Afantou, Rhodes",Propiedad y campo de golf en el norte de Afantou,"Afantou, Rodas",36.289233,28.176897,The Afantou property consists of two neighbouring beachfront land plots located in the Afantou area of the island of Rhodes.,,Terrenos e inmuebles,Completado,26.900.000,26.900.000,M.A.Angeliades Inc.,Confirmado,http://www.hradf.com/en/portfolio/afantou-rhodes,http://www.hradf.com/sites/default/files/attachments/20140722-press-release-real-estate-en.pdf,"Gran empresa de la construcción de EEUU de familia de origen griega. Ya anuncia el proyecto en su web (http://www.ma-angeliades.com/). Han tenido problemas legales en Nueva York por no pagar sueldos (http://www.nytimes.com/2009/06/04/nyregion/04contractor.html). Culpables, pero acabó en acuerdo (http://bronxda.nyc.gov/information/2010/case23.htm)"
,Propiedad en el sur de Afantou,"Afantou, Rodas",36.286517,28.174944,The Afantou property consists of two neighbouring beachfront land plots located in the Afantou area of the island of Rhodes.,,Terrenos e inmuebles,Completado,15.023.000,15.023.000,Τ.Ν. Aegean Sun Investment Ltd,Por confirmar,http://www.hradf.com/en/portfolio/afantou-rhodes,,nada
Agia Triada,Propiedad en Agia Triada,Agia Triada,40.496157,22.875733,"The property is located near Agia Triada, a small coastal town in northern Greece. It is situated on a long sandy beach, in an area endowed with natural beauty.","The property is located 27 km from the town of Thessaloniki and 14 km from the national airport “Macedonia”. The size of the property is approximately 132,483 sq.m. It is a seafront property with a long coastline border and has direct access to the Thessaloniki",Terrenos e inmuebles,Prevista,,,,,,,
Asprovalta,Propiedad en Asprovalta,Asprovalta,40.713084,23.705163,"The property is located near Asprovalta, a small town in northern Greece. The coast of Asprovalta is located at the center of the coastal zone of Strymonikos Gulf, east of the Peninsula of Mount Athos.","property is located 80 km from the town of Thessaloniki (95 km from the airport “Makedonia”) 85 km from the town of Kavala (100 km from Kavala airport) It has direct access to Egnatia Motorway The size of the property is around 296,000 m2 and includes Camping Facilities of around 5,160 m2 buildable area.",Terrenos e inmuebles,Prevista,,,,,,,
Astir Vouliagmenis,Hotel Astir Palace,"Vouliagmeni, Atenas",37.812016,23.774201,"Astir Vouliagmenis is located on a peninsula by the sea, known as “Mikro Kavouri”, in Vouliagmeni, Athens. The adjoining properties are the Astir Palace hotel complex and the Vouliagmeni Marina.",119.800 sq.m. (exploitable approx. 111.942 sq.m.),Terrenos e inmuebles,Completado,400.000.000,400.000.000,JERMYN STREET REAL ESTATE FUND IV LP,,,,Fondo controlado por empresas árabes (http://www.arabianbusiness.com/arab-fund-buys-luxury-greek-island-resort-539353.html)
Athens International Airport,Aeropuerto Internacional de Atenas,Atenas,37.935566,23.948319,"Athens International Airport S.A. (AIA) was established in 1996 in order to build, maintain and operate the Athens International Airport ""Eleftherios Venizelos"" on a 30 year concession.",the Greek State has also transferred to the HRADF the right to extend the existing concession by 20 extra years (until 2046). Both the extension of the existing concession and the divestment of HRADF's equity participation in AIA are being considered,Infraestructura,Prevista,,,,,,,
Athens Water Supply and Sewerage Company,Compañía de Aguas y Alcantarillado de Atenas,Atenas,38.027363,23.752316,"The Athens Water Supply and Sewerage Company SA (EYDAP) has the exclusive right to offer water and sewerage services in the Greater Attica Area. The term of this right, as well as its renewal, is regulated by a a 20-year Agreement signed by the Hellenic Republic",,Infraestructura,Prevista,,,,,,,
Boutique Hotels,Hotel Evangelinaki Mansion,Milies,40.345249,23.96569,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Mousli Mansion,Volos,39.414255,23.165697,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
Boutique Hotels,Hotel Xiradaki Mansion,Volos,39.416849,23.161425,Hotel,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20140717-rfp-valuer-boutique-hotels-en_0.pdf,,
