ID;UNIDAD;FECHA INICIO;FECHA FIN;TÉRMINO MUNICIPAL;PROVINCIA;COMUNIDAD AUTÓNOMA;OBJETO;EFECTIVOS;COSTE;MES;AÑO;MES + AÑO
1;BIEM I, II, III y IV;27/07/2007;02/08/2007;;Gran Canaria;Canarias;Incendios;140;867;julio;2007;jul-07
2;BIEM II;30/07/2007;31/07/2007;;Córdoba;Andalucía;Incendios;169;11.498,77;julio;2007;jul-07
3;BIEM I, II, III y IV;31/07/2007;03/08/2007;;Santa Cruz de Tenerife;Canarias;Incendios;300;867.552,23;julio;2007;jul-07
4;BIEM I, III y IV;28/08/2007;31/08/2007;;Castellón;Comunidad Valenciana;Incendios;423;67.567,31;agosto;2007;ago-07
5;BIEM II y RAEM;19/12/2007;20/12/2007;Algeciras;Cádiz;Andalucía;Paso del Estrecho;22;206,66;diciembre;2007;dic-07
6;BIEM I, III y RAEM;13/10/2007;20/10/2007;El Vergel;Alicante;Comunidad Valenciana;Inundaciones;106;26.405,02;octubre;2007;oct-07
7;BIEM II;20/11/2007;21/11/2007;Utrera;Sevilla;Andalucía;Inundaciones;60;2.952,69;noviembre;2007;nov-07
8;BIEM I, II, AGRUMEDA;27/04/2008;01/05/2008;La Gomera;Santa Cruz de Tenerife;Canarias;Incendios;235;189.620,00;abril;2008;abr-08
9;BIEM V;24/07/2008;25/07/2008;Villafranca del Bierzo;León;Castilla y León;Incendios;47;1.802,95;julio;2008;jul-08
10;BIEM I, III, IV, RAEM, AGRUMEDA;05/08/2008;09/08/2008;Zuera;Zaragoza;Aragón;Incendios;388;55.915,28;agosto;2008;ago-08
11;BIEM III, V;06/08/2008;08/08/2008;Honrubia de la Cuesta;Segovia;Castilla y León;Incendios;219;31.288,60;agosto;2008;ago-08
12;BIEM II;03/09/2008;04/09/2008;Tarifa;Cádiz;Andalucía;Incendios;132;10.887,42;septiembre;2008;sep-08
13;BIEM IV;08/12/2008;09/12/2008;Benasque ;Huesca;Aragón;Invernal;48;4.164,00;diciembre;2008;dic-08
14;BIEM II;29/09/2008;01/10/2008;Ceuta;Ceuta;Ceuta;Inundaciones;150;16.123,63;septiembre;2008;sep-08
15;BIEM I;12/10/2008;12/10/2008;Rivas Vaciamadrid;Madrid;Madrid;Inundaciones;11;364;octubre;2008;oct-08
16;BIEM V;14/12/2008;15/12/2008;León;León;Castilla y León;Inundaciones;158;18.800,00;diciembre;2008;dic-08
17;BIEM III y I;16/12/2008;18/12/2008;Mallorca;Baleares;Baleares;Inundaciones;58;248.175,00;diciembre;2008;dic-08
18;BIEM I Y III;24/01/2009;25/01/2009;;Valencia, Alicante;Comunidad Valenciana;Incendios;488;50.040,77;enero;2009;ene-09
19;BIEM II Y BIEM III;14/07/2009;17/07/2009;;Almería;Andalucía;Incendios;253;71.463,59;julio;2009;jul-09
20;BIEM I Y BIEM III;15/07/2009;17/07/2009;;Albacete;Castilla-La Mancha;Incendios;129;6.273,52;julio;2009;jul-09
21;BIEM V ;17/07/2009;18/07/2009;;León;Castilla y León;Incendios;122;9.984,04;julio;2009;jul-09
22;BIEM II;18/07/2009;20/07/2009;;Cádiz;Andalucía;Incendios;139;14.462,67;julio;2009;jul-09
