PAÍS;CUENTAS BANCARIAS;ACCIONES O PARTICIPACIONES;SEGUROS Y RENTAS TEMPORALES;VALORES Y DERECHOS;INMUEBLES;NO CONSTA;TOTAL
Afganistán;1.814,58;56.560,18;;123.478,46;121.103,49;;302.956,71
Albania;469.166,95;129.066,74;35.890,00;241.198,16;520.811,89;;1.396.133,74
Alemania;1.292.017.753,51;245.456.257,60;82.582.807,39;1.251.882.057,53;727.584.734,35;;3.599.523.610,38
Andorra;965.993.158,79;758.063.547,31;455.155.834,88;1.262.532.328,22;627.418.134,20;;4.069.163.003,40
Angola;2.197.670,56;174.828,24;285.706,09;4.957.993,81;15.000,00;;7.631.198,70
Anguila;4.001,57;3.715,46;;3.866.696,04;;;3.874.413,07
Antigua y Barbuda;411.796,82;;;4.006.381,01;186.225,63;;4.604.403,46
Arabia Saudí;407.310,78;0,59;;65.063.892,08;311.000,00;;65.782.203,45
Argelia;1.017.598,10;700.000,00;6.432,65;1.487.354,07;1.253.880,36;;4.465.265,18
Argentina;15.135.196,81;2.291.507,37;;1.177.364.670,59;134.014.461,28;;1.328.805.836,05
Armenia;24.048,92;71.889,63;;4.742,57;393.890,56;;494.571,68
Aruba;;6.766.062,13;;906.260,41;164.755,93;;7.837.078,47
Australia;28.034.016,37;5.483.437,28;262.844,66;48.049.211,96;23.289.924,81;;105.119.435,08
Austria;53.874.388,02;25.956.797,64;2.344.545,86;428.412.793,39;42.720.623,94;;553.309.148,85
Azerbaiyán;530.544,21;;;5.855,21;1.230.549,25;;1.766.948,67
Bahamas;114.933.753,41;121.035.456,67;24.336.809,00;414.868.325,79;5.761.247,00;;680.935.591,87
Bahréin;78.635,30;414.330,56;;407.108,37;;;900.074,23
Bangladesh;85.697,00;;;23.100,00;;;108.797,00
Barbados;118.104,05;213.598,00;164.273,00;3.753.063,77;165.000,00;;4.414.038,82
Bélgica;1.747.930.566,77;198.354.461,26;25.705.840,69;422.010.362,01;458.011.576,33;;2.852.012.807,06
Belice;708.510,22;757;3.062,32;25.428.856,33;556.556,76;;26.697.742,63
Benín;;;;9.528,06;;;9.528,06
Bermudas;3.590.376,85;20.442.613,57;79.190.033,94;20.661.392,99;1.168.491,67;;125.052.909,02
Bielorrusia;2;;;;681.916,98;;681.918,98
Bolivia;4.211.509,72;;359.414,99;922.577,10;6.548.577,34;;12.042.079,15
