ID_ACCIDENTE,ANIO,MES,HORA,DIASEMANA,PROVINCIA,COMUNIDAD_AUTONOMA,ISLA,MUNICIPIO,TOT_VICTIMAS,TOT_MUERTOS,TOT_HERIDOS_GRAVES,TOT_HERIDOS_LEVES,TOT_VEHICULOS_IMPLICADOS,ZONA,ZONA_AGRUPADA,CARRETERA,RED_CARRETERA,TIPO_VIA,TRAZADO_NO_INTERSEC,TIPO_INTERSEC,ACOND_CALZADA,PRIORIDAD,SUPERFICIE_CALZADA,LUMINOSIDAD,FACTORES_ATMOSFERICOS,VISIBILIDAD_RESTRINGIDA,OTRA_CIRCUNSTANCIA,ACERAS,TIPO_ACCIDENTE,DENSIDAD_CIRCULACION,MEDIDAS_ESPECIALES,COD_ANIMAL
2008200000170,2008,3,13:00,DOMINGO,Gipuzkoa,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SS-2135,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,PLENO DÍA,BUEN TIEMPO,OTRA_CAUSA,NINGUNA,SI HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008200000343,2008,4,06:00,DOMINGO,Gipuzkoa,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,SS-2132,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",VÍA CONVENCIONAL CON CARRIL LENTO,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,NO HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008480000144,2008,2,05:00,VIERNES,Bizkaia,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,VI-8,OTRAS TITULARIDADES,AUTOPISTA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,NO HAY ACERA,Atropello a animal conducido o en rebaño,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008480000204,2008,2,19:00,VIERNES,Bizkaia,País Vasco,,,1,0,0,1,1,ZONA URBANA,VÍAS URBANAS,,TITULARIDAD MUNICIPAL,OTRO TIPO,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN SUFICIENTE,NIEBLA INTENSA,FACTORES ATMOSFÉRICOS,NINGUNA,SI HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008010000174,2008,6,23:00,SÁBADO,Araba/Álava,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,N-240,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",RAMAL DE ENLACE,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,NO HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008480000607,2008,6,23:00,VIERNES,Bizkaia,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,BI-2757,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,OTRA,SI HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008200000501,2008,6,02:00,DOMINGO,Gipuzkoa,País Vasco,,,2,0,0,2,2,CARRETERA,VÍAS INTERURBANAS,N-1,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",AUTOVÍA,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: ILUMINACIÓN INSUFICIENTE,LLUVIA FUERTE,FACTORES ATMOSFÉRICOS,NINGUNA,NO HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008010000170,2008,6,01:00,JUEVES,Araba/Álava,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,VI-3600,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,CREPÚSCULO,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,NO HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008480000567,2008,6,22:00,MIÉRCOLES,Bizkaia,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,BI-633,"TITULARIDAD PROVINCIAL (DIPUTACIÓN, CABILDO O CONSELL)",OTRO TIPO,EN T Ó Y,,SIN DATO,"SEÑAL DE ""STOP""",SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,NO HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
2008480000246,2008,3,01:00,LUNES,Bizkaia,País Vasco,,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,VI-8,OTRAS TITULARIDADES,RAMAL DE ENLACE,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN SUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,NO HAY ACERA,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Animal no identificado
