Ciudad,Provincia,Comunidad Autónoma,Municipio,Población,Tasa,Casos,Año
Corvera de Asturias,Asturias,Asturias,Corvera de Asturias (Asturias),16146,"130,0631735",21,2013
Pasaia,Gipuzkoa,País Vasco,Pasaia (País Vasco),15849,"100,9527415",16,2013
Villaviciosa,Asturias,Asturias,Villaviciosa (Asturias),14971,"100,1937078",15,2013
Miajadas,Cáceres,Extremadura,Miajadas (Extremadura),10111,"98,90218574",10,2013
Langreo,Asturias,Asturias,Langreo (Asturias),43070,"97,51567216",42,2013
Aller,Asturias,Asturias,Aller (Asturias),11906,"92,3903914",11,2013
Premià de Mar,Barcelona,Cataluña,Premià de Mar (Cataluña),28136,"88,85413705",25,2013
Elgoibar,Gipuzkoa,País Vasco,Elgoibar (País Vasco),11518,"86,82062858",10,2013
Peñarroya-Pueblonuevo,Córdoba,Andalucía,Peñarroya-Pueblonuevo (Andalucía),11600,"86,20689655",10,2013
Vilanova de Arousa,Pontevedra,Galicia,Vilanova de Arousa (Galicia),10502,"85,69796229",9,2013
Llanera,Asturias,Asturias,Llanera (Asturias),14138,"84,87763474",12,2013
San Martín del Rey Aurelio,Asturias,Asturias,San Martín del Rey Aurelio (Asturias),17770,"84,41193022",15,2013
Amposta,Tarragona,Cataluña,Amposta (Cataluña),21511,"83,67811817",18,2013
Gozón,Asturias,Asturias,Gozón (Asturias),10760,"83,64312268",9,2013
Castrillón,Asturias,Asturias,Castrillón (Asturias),22851,"83,14734585",19,2013
Carreño,Asturias,Asturias,Carreño (Asturias),10858,"82,88819304",9,2013
Canals,València/Valencia,Comunidad Valenciana,Canals (Comunidad Valenciana),12104,"82,61731659",10,2013
"Prat de Llobregat, El",Barcelona,Cataluña,"Prat de Llobregat, El (Cataluña)",63419,"81,994355",52,2013
Badia del Vallès,Barcelona,Cataluña,Badia del Vallès (Cataluña),13531,"81,29480452",11,2013
Villablino,León,Castilla y León,Villablino (Castilla y León),10003,"79,9760072",8,2013
Caldas de Reis,Pontevedra,Galicia,Caldas de Reis (Galicia),10019,"79,84828825",8,2013
Santa Cruz de la Palma,Santa Cruz de Tenerife,Canarias,Santa Cruz de la Palma (Canarias),16330,"79,60808328",13,2013
Ayamonte,Huelva,Andalucía,Ayamonte (Andalucía),20406,"78,40831128",16,2013
Cocentaina,Alacant/Alicante,Comunidad Valenciana,Cocentaina (Comunidad Valenciana),11558,"77,86814328",9,2013
Monforte de Lemos,Lugo,Galicia,Monforte de Lemos (Galicia),19426,"77,21610213",15,2013
Valls,Tarragona,Cataluña,Valls (Cataluña),24649,"77,08223457",19,2013
"Guarda, A",Pontevedra,Galicia,"Guarda, A (Galicia)",10438,"76,64303506",8,2013
"Carballiño, O",Ourense,Galicia,"Carballiño, O (Galicia)",14355,"76,62835249",11,2013
Teulada,Alacant/Alicante,Comunidad Valenciana,Teulada (Comunidad Valenciana),14452,"76,11403266",11,2013
