Institución;Tipo institución;Coste €;Empresa adjudicataria;Fuente
Bibliotecas Universitarias de Galicia;Universidades;317409,17;Springer Customer Service Center Gmbh;http://www.boe.es/buscar/doc.php?id=BOE-B-2018-910
Bibliotecas Universitarias de Galicia;Universidades;252034,46;American Chemical Society (ACS);http://www.boe.es/buscar/doc.php?id=BOE-B-2018-909
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Universidades;1560975,08;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2018-6499
Universidad de Barcelona;Universidades;1557439,00;EBSCO Subscription Services España, S.L.U. y LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2018-5037
Universidad de Barcelona;Universidades;16887843,00;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2018-4318
Bibliotecas Universitarias de Galicia;Universidades;312411,11;Springer Customer Service Center Gmbh;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-9371
Instituto Español de Oceanografía;Ministerios;194263,69;Greendata, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-7670
Universidad de La Laguna;Universidades;698472,44;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-7474
Universidad de Cantabria;Universidades;1136785,48;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-73157
CSIC;Ministerios;864137,35;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-71579
CSIC;Ministerios;4313650,00;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-70315
Universitat Jaume I;Universidades;173816,81;EBSCO Subscription Services España, S.L.U. y LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-68751
Universidad Miguel Hernández de Elche;Universidades;1322775,78;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-66706
Bibliotecas Universitarias de Cataluña;Universidades;176302,85;Royal Society of Chemistry;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-5887
Universidad de Burgos;Universidades;1027796,35;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-55147
Gerencia Regional de Salud de Castilla y León;CCAA;1395000,00;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-5445
CIEMAT;Ministerios;369408,50;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-52279
Bibliotecas Universitarias de Cataluña;Universidades;141358,52;American Institute of Physics;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-5110
CIEMAT;Ministerios;303712,71;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-50244
Universidad de La Laguna;Universidades;2329591,17;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-46010
Conselleria de Sanidad Universal y Salud Pública de la Generalitat Valenciana;CCAA;561152,02;Elsevier, B.V. y Ebsco Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-45940
Universidad de Las Palmas de Gran Canaria;Universidades;1168209,23;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-45488
Universidad de Oviedo;Universidades;3932146,38;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-43147
Universitat de València;Universidades;3444862,64;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-39639
Osakidetza-Servicio Vasco de Salud;CCAA;493817,98;EBSCO Subscription Services España, S.L.U. y LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-36813
