name;abbreviation;name_esp;numero_representantes;lidera_2020;ganador_2020
Alabama;AL;Alabama;9;rep;rep
Alaska;AK;Alaska;3;;
Arizona;AZ;Arizona;11;;
Arkansas;AR;Arkansas;6;;
California;CA;California;55;;
Colorado;CO;Colorado;9;;
Connecticut;CT;Connecticut;7;;
Delaware;DE;Delaware;3;;
District Of Columbia;DC;Distrito de Columbia;3;;
Florida;FL;Florida;29;;
Georgia;GA;Georgia;16;;dem
Hawaii;HI;Hawai;4;;
Idaho;ID;Idaho;4;;rep
Illinois;IL;Illinois;20;dem;
Indiana;IN;Indiana;11;;
Iowa;IA;Iowa;6;;
Kansas;KS;Kansas;6;;
Kentucky;KY;Kentucky;8;;
Louisiana;LA;Luisiana;8;;
Maine;ME;Maine;4;;
Maryland;MD;Maryland;10;;
Massachusetts;MA;Massachusetts;11;;dem
Michigan;MI;Michigan;16;;
Minnesota;MN;Minnesota;10;;dem
Mississippi;MS;Mississippi;6;;
Missouri;MO;Misuri;10;;
Montana;MT;Montana;3;;
Nebraska;NE;Nebraska;5;;2dem_2rep_1battle
Nevada;NV;Nevada;6;;
New Hampshire;NH;Nuevo Hampshire;4;;dem
New Jersey;NJ;Nueva Jersey;14;;
New Mexico;NM;Nuevo Mexico;5;;
New York;NY;Nueva York;29;;
North Carolina;NC;Carolina del Norte;15;;rep
North Dakota;ND;Dakota del Norte;3;;
Ohio;OH;Ohio;18;;
Oklahoma;OK;Oklahoma;7;;
Oregon;OR;Oregon;7;;
Pennsylvania;PA;Pensilvania;20;dem;
Rhode Island;RI;Rhode Island;4;;
South Carolina;SC;Carolina del Sur;9;;
South Dakota;SD;Dakota del Sur;3;;
Tennessee;TN;Tennessee;11;;rep
Texas;TX;Texas;38;;
Utah;UT;Utah;6;;
Vermont;VT;Vermont;3;;dem
Virginia;VA;Virginia;13;;
Washington;WA;Washington;12;rep;
West Virginia;WV;Virginia Occidental;5;;
Wisconsin;WI;Wisconsin;10;;
Wyoming;WY;Wyoming;3;;
