ID;IDMUN;MUNICIPIO;IDPROV;PROVINCIA;MUN;POB;POBLACIÓN;IDVIA;TIPOVIA;NOMBRE DE VÍA;NOMBRE COMPLETO;NOMBRE PROPIO;PERSONAJE
477787;28079;Madrid;28;Madrid;079;3141991;Más de 500.000 habitantes;01250;PLAZA;CAUDILLO;PLAZA CAUDILLO;Plaza Caudillo;Francisco Franco
478706;28079;Madrid;28;Madrid;079;3141991;Más de 500.000 habitantes;02497;TRVA;GENERAL FRANCO;TRVA GENERAL FRANCO;Trva General Franco;Francisco Franco
478721;28079;Madrid;28;Madrid;079;3141991;Más de 500.000 habitantes;02512;PSAJE;GENERAL MOLA;PSAJE GENERAL MOLA;Psaje General Mola;Emilio Mola
478739;28079;Madrid;28;Madrid;079;3141991;Más de 500.000 habitantes;02533;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
482580;28079;Madrid;28;Madrid;079;3141991;Más de 500.000 habitantes;09348;CALLE;GENERAL MILLAN ASTRAY;CALLE GENERAL MILLAN ASTRAY;Calle General Millán Astray;José Millan Astray
478722;28079;Madrid;28;Madrid;079;3141991;Más de 500.000 habitantes;02513;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
867914;50297;Zaragoza;50;Zaragoza;297;664953;Más de 500.000 habitantes;15480;CALLE;JOSE ANTONIO (GRP);CALLE JOSE ANTONIO (GRP);Calle José Antonio (Grp);José Antonio Primo de Rivera
558803;30030;Murcia;30;Murcia;030;439889;De 100.001 a 500.000;00760;CALLE;FRANCISCO FRANCO;CALLE FRANCISCO FRANCO;Calle Francisco Franco;Francisco Franco
558830;30030;Murcia;30;Murcia;030;439889;De 100.001 a 500.000;00814;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
558835;30030;Murcia;30;Murcia;030;439889;De 100.001 a 500.000;00822;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
558912;30030;Murcia;30;Murcia;030;439889;De 100.001 a 500.000;00978;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
562120;30030;Murcia;30;Murcia;030;439889;De 100.001 a 500.000;12860;PLAZA;GENERAL SANJURJO;PLAZA GENERAL SANJURJO;Plaza General Sanjurjo;José Sanjurjo
558831;30030;Murcia;30;Murcia;030;439889;De 100.001 a 500.000;00815;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
107255;07040;Palma de Mallorca;07;Baleares;040;400578;De 100.001 a 500.000;02225;PLAZA;CAUDILLO;PLAZA CAUDILLO;Plaza Caudillo;Francisco Franco
16954;03014;Alicante/Alacant;03;Alicante;014;328648;De 100.001 a 500.000;03105;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
270639;14021;Córdoba;14;Córdoba;021;327362;De 100.001 a 500.000;03585;CALLE;GENERAL FRANCO (ALCOLEA);CALLE GENERAL FRANCO (ALCOLEA);Calle General Franco (Alcolea);Francisco Franco
270640;14021;Córdoba;14;Córdoba;021;327362;De 100.001 a 500.000;03586;CALLE;GENERAL FRANCO (BARRIO DEL ANGEL);CALLE GENERAL FRANCO (BARRIO DEL ANGEL);Calle General Franco (Barrio del Ángel);Francisco Franco
284239;15030;A Coruña;15;A Coruña;030;243870;De 100.001 a 500.000;00274;AVDA;GENERAL SANJURJO;AVDA GENERAL SANJURJO;Avda. General Sanjurjo;José Sanjurjo
284616;15030;A Coruña;15;A Coruña;030;243870;De 100.001 a 500.000;00700;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
284618;15030;A Coruña;15;A Coruña;030;243870;De 100.001 a 500.000;00702;PLAZA;GENERAL MILLAN ASTRAY;PLAZA GENERAL MILLAN ASTRAY;Plaza General Millán Astray;José Millan Astray
284637;15030;A Coruña;15;A Coruña;030;243870;De 100.001 a 500.000;00732;PLAZA;GENERAL MOLA;PLAZA GENERAL MOLA;Plaza General Mola;Emilio Mola
543115;30016;Cartagena;30;Murcia;016;216301;De 100.001 a 500.000;04406;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
543615;30016;Cartagena;30;Murcia;016;216301;De 100.001 a 500.000;05751;AVDA;GENERALISIMO (DEL);AVDA GENERALISIMO (DEL);Avda. del Generalísimo;Francisco Franco
543711;30016;Cartagena;30;Murcia;016;216301;De 100.001 a 500.000;05881;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
544093;30016;Cartagena;30;Murcia;016;216301;De 100.001 a 500.000;07379;CALLE;GENERAL MILLAN ASTRAY;CALLE GENERAL MILLAN ASTRAY;Calle General Millán Astray;José Millan Astray
546195;30016;Cartagena;30;Murcia;016;216301;De 100.001 a 500.000;10848;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
542975;30016;Cartagena;30;Murcia;016;216301;De 100.001 a 500.000;04033;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
225182;11020;Jerez de la Frontera;11;Cádiz;020;212876;De 100.001 a 500.000;02525;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
47783;04013;Almería;04;Almería;013;194203;De 100.001 a 500.000;00910;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
677749;39075;Santander;39;Cantabria;075;173957;De 100.001 a 500.000;00186;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
5335;02003;Albacete;02;Albacete;003;172121;De 100.001 a 500.000;13545;PLAZA;CAUDILLO (SANTA ANA);PLAZA CAUDILLO (SANTA ANA);Plaza Caudillo (Santa Ana);Francisco Franco
242227;12040;Castellón de la Plana/Castelló de la Plana;12;Castellón;040;171669;De 100.001 a 500.000;02660;GRUP;FRANCISCO FRANCO;GRUP FRANCISCO FRANCO;Grup Francisco Franco;Francisco Franco
242231;12040;Castellón de la Plana/Castelló de la Plana;12;Castellón;040;171669;De 100.001 a 500.000;02700;GRUP;JOSE ANTONIO;GRUP JOSE ANTONIO;Grup José Antonio;José Antonio Primo de Rivera
662818;38023;San Cristóbal de La Laguna;38;Santa Cruz de Tenerife;023;152843;De 100.001 a 500.000;03960;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
452319;26089;Logroño;26;La Rioja;089;151344;De 100.001 a 500.000;00147;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
81288;06015;Badajoz;06;Badajoz;015;149892;De 100.001 a 500.000;09984;CALLE;GENERAL FRANCO;CALLE GENERAL FRANCO;Calle General Franco;Francisco Franco
418092;24089;León;24;León;089;127817;De 100.001 a 500.000;00267;CALLE;GENERAL MILLAN ASTRAY;CALLE GENERAL MILLAN ASTRAY;Calle General Millán Astray;José Millan Astray
418096;24089;León;24;León;089;127817;De 100.001 a 500.000;00272;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
418142;24089;León;24;León;089;127817;De 100.001 a 500.000;00330;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
418710;24089;León;24;León;089;127817;De 100.001 a 500.000;03962;CALLE;GENERALISIMO FRANCO;CALLE GENERALISIMO FRANCO;Calle Generalísimo Franco;Francisco Franco
232426;11031;San Fernando;11;Cádiz;031;96131;De 50.001 a 100.000;02064;PLAZA;JOSE ANTONIO;PLAZA JOSE ANTONIO;Plaza José Antonio;José Antonio Primo de Rivera
232455;11031;San Fernando;11;Cádiz;031;96131;De 50.001 a 100.000;02125;PLAZA;GENERAL MOLA;PLAZA GENERAL MOLA;Plaza General Mola;Emilio Mola
197674;10037;Cáceres;10;Cáceres;037;95617;De 50.001 a 100.000;00314;AVDA;MILLAN ASTRAY;AVDA MILLAN ASTRAY;Avda. Millán Astray;José Millan Astray
870832;52001;Melilla;52;Melilla;001;85584;De 50.001 a 100.000;02960;CALLE;JOSE ANTONIO PRIMO DE RIVERA;CALLE JOSE ANTONIO PRIMO DE RIVERA;Calle José Antonio Primo de Rivera;José Antonio Primo de Rivera
870970;52001;Melilla;52;Melilla;001;85584;De 50.001 a 100.000;03930;CALLE;MILLAN ASTRAY, GENERAL;CALLE MILLAN ASTRAY, GENERAL;Calle Millán Astray, General;José Millan Astray
781984;45165;Talavera de la Reina;45;Toledo;165;85150;De 50.001 a 100.000;06070;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
491550;28115;Pozuelo de Alarcón;28;Madrid;115;84558;De 50.001 a 100.000;00305;PLAZA;JOSE ANTONIO;PLAZA JOSE ANTONIO;Plaza José Antonio;José Antonio Primo de Rivera
869963;51001;Ceuta;51;Ceuta;001;84263;De 50.001 a 100.000;00316;CALLE;MILLAN ASTRAY;CALLE MILLAN ASTRAY;Calle Millán Astray;José Millan Astray
870007;51001;Ceuta;51;Ceuta;001;84263;De 50.001 a 100.000;00390;CALLE;QUEIPO DE LLANO;CALLE QUEIPO DE LLANO;Calle Queipo de Llano;Gonzalo Queipo de Llano
633805;36038;Pontevedra;36;Pontevedra;038;82539;De 50.001 a 100.000;09003;ALAM;JOSE ANTONIO;ALAM JOSE ANTONIO;Alam José Antonio;José Antonio Primo de Rivera
555702;30027;Molina de Segura;30;Murcia;027;69331;De 50.001 a 100.000;00326;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
555773;30027;Molina de Segura;30;Murcia;027;69331;De 50.001 a 100.000;00399;CALLE;MILLAN ASTRAY;CALLE MILLAN ASTRAY;Calle Millán Astray;José Millan Astray
68574;05019;Ávila;05;Ávila;019;58358;De 50.001 a 100.000;00250;PLAZA;GENERALISIMO;PLAZA GENERALISIMO;Plaza Generalísimo;Francisco Franco
69081;05019;Ávila;05;Ávila;019;58358;De 50.001 a 100.000;02031;AVDA;JOSE ANTONIO;AVDA JOSE ANTONIO;Avda. José Antonio;José Antonio Primo de Rivera
622805;35019;San Bartolomé de Tirajana;35;Las Palmas;019;54932;De 50.001 a 100.000;03685;PLAZA;GENERAL FRANCO;PLAZA GENERAL FRANCO;Plaza General Franco;Francisco Franco
688544;40194;Segovia;40;Segovia;194;52728;De 50.001 a 100.000;01880;CALLE;GENERAL VARELA (DEL);CALLE GENERAL VARELA (DEL);Calle del General Varela;José Enrique Varela
688729;40194;Segovia;40;Segovia;194;52728;De 50.001 a 100.000;03440;PLAZA;RAMIRO LEDESMA;PLAZA RAMIRO LEDESMA;Plaza Ramiro Ledesma;Ramiro Ledesma
464762;28022;Boadilla del Monte;28;Madrid;022;48775;De 30.001 a 50.000;00032;CALLE;JOSE ANTONIO (DE);CALLE JOSE ANTONIO (DE);Calle de José Antonio;José Antonio Primo de Rivera
507351;29015;Antequera;29;Málaga;015;41141;De 30.001 a 50.000;00146;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
207905;10148;Plasencia;10;Cáceres;148;40755;De 30.001 a 50.000;02900;CALLE;MILLAN ASTRAY;CALLE MILLAN ASTRAY;Calle Millán Astray;José Millan Astray
760359;44216;Teruel;44;Teruel;216;35590;De 30.001 a 50.000;01079;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
567776;30037;Torre-Pacheco;30;Murcia;037;34469;De 30.001 a 50.000;00212;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
568028;30037;Torre-Pacheco;30;Murcia;037;34469;De 30.001 a 50.000;01409;PLAZA;GENERAL FRANCO;PLAZA GENERAL FRANCO;Plaza General Franco;Francisco Franco
181813;09018;Aranda de Duero;09;Burgos;018;32880;De 30.001 a 50.000;01070;PLAZA;GENERALISIMO;PLAZA GENERALISIMO;Plaza Generalísimo;Francisco Franco
565785;30035;San Javier;30;Murcia;035;31915;De 30.001 a 50.000;00179;CALLE;MILLAN ASTRAY;CALLE MILLAN ASTRAY;Calle Millán Astray;José Millan Astray
565860;30035;San Javier;30;Murcia;035;31915;De 30.001 a 50.000;00407;AVDA;JOSE ANTONIO;AVDA JOSE ANTONIO;Avda. José Antonio;José Antonio Primo de Rivera
566016;30035;San Javier;30;Murcia;035;31915;De 30.001 a 50.000;01274;AVDA;FRANCISCO FRANCO;AVDA FRANCISCO FRANCO;Avda. Francisco Franco;Francisco Franco
566017;30035;San Javier;30;Murcia;035;31915;De 30.001 a 50.000;01277;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
216722;11006;Arcos de la Frontera;11;Cádiz;006;31193;De 30.001 a 50.000;03318;CTRA;JOSE ANTONIO;CTRA JOSE ANTONIO;Ctra José Antonio;José Antonio Primo de Rivera
570255;30039;Totana;30;Murcia;039;30916;De 30.001 a 50.000;01210;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
570260;30039;Totana;30;Murcia;039;30916;De 30.001 a 50.000;01260;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
570262;30039;Totana;30;Murcia;039;30916;De 30.001 a 50.000;01280;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
570257;30039;Totana;30;Murcia;039;30916;De 30.001 a 50.000;01230;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
616356;35011;Ingenio;35;Las Palmas;011;30258;De 30.001 a 50.000;00194;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
616361;35011;Ingenio;35;Las Palmas;011;30258;De 30.001 a 50.000;00199;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
616398;35011;Ingenio;35;Las Palmas;011;30258;De 30.001 a 50.000;00239;CALLE;JOSE ANTONIO PRIMO DE RIVERA;CALLE JOSE ANTONIO PRIMO DE RIVERA;Calle José Antonio Primo de Rivera;José Antonio Primo de Rivera
616507;35011;Ingenio;35;Las Palmas;011;30258;De 30.001 a 50.000;00401;CALLE;GENERAL QUEIPO DE LLANO;CALLE GENERAL QUEIPO DE LLANO;Calle General Queipo de Llano;Gonzalo Queipo de Llano
616650;35011;Ingenio;35;Las Palmas;011;30258;De 30.001 a 50.000;01356;CALLE;GENERAL MILLAN ASTRAY;CALLE GENERAL MILLAN ASTRAY;Calle General Millán Astray;José Millan Astray
616357;35011;Ingenio;35;Las Palmas;011;30258;De 30.001 a 50.000;00195;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
94726;06153;Villanueva de la Serena;06;Badajoz;153;26021;De 20.001 a 30.000;00779;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
13550;02081;Villarrobledo;02;Albacete;081;25989;De 20.001 a 30.000;00264;AVDA;GENERALISIMO;AVDA GENERALISIMO;Avda. Generalísimo;Francisco Franco
567069;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00099;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
567116;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00149;CALLE;MILLAN ASTRAY;CALLE MILLAN ASTRAY;Calle Millán Astray;José Millan Astray
567263;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00313;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
567265;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00315;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
567328;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00381;CALLE;QUEIPO DE LLANO;CALLE QUEIPO DE LLANO;Calle Queipo de Llano;Gonzalo Queipo de Llano
567401;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00459;AVDA;GENERALISIMO;AVDA GENERALISIMO;Avda. Generalísimo;Francisco Franco
567264;30036;San Pedro del Pinatar;30;Murcia;036;24339;De 20.001 a 30.000;00314;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
615611;35009;Gáldar;35;Las Palmas;009;24235;De 20.001 a 30.000;00426;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
813496;46202;La Pobla de Vallbona;46;Valencia;202;22994;De 20.001 a 30.000;00038;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
278521;14055;Priego de Córdoba;14;Córdoba;055;22936;De 20.001 a 30.000;00133;PLAZA;GENERALISIMO;PLAZA GENERALISIMO;Plaza Generalísimo;Francisco Franco
278541;14055;Priego de Córdoba;14;Córdoba;055;22936;De 20.001 a 30.000;00155;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
513415;29042;Coín;29;Málaga;042;21561;De 20.001 a 30.000;01630;CALLE;RAMIRO LEDESMA;CALLE RAMIRO LEDESMA;Calle Ramiro Ledesma;Ramiro Ledesma
830358;47085;Medina del Campo;47;Valladolid;085;21110;De 20.001 a 30.000;00071;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
830472;47085;Medina del Campo;47;Valladolid;085;21110;De 20.001 a 30.000;00623;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
815873;46213;Requena;46;Valencia;213;20621;De 20.001 a 30.000;08060;AVDA;JOSE ANTONIO;AVDA JOSE ANTONIO;Avda. José Antonio;José Antonio Primo de Rivera
816004;46213;Requena;46;Valencia;213;20621;De 20.001 a 30.000;13220;PLAZA;CAUDILLO;PLAZA CAUDILLO;Plaza Caudillo;Francisco Franco
816101;46213;Requena;46;Valencia;213;20621;De 20.001 a 30.000;18040;CALLE;GENERALISIMO;CALLE GENERALISIMO;Calle Generalísimo;Francisco Franco
633930;36039;O Porriño;36;Pontevedra;039;18898;De 10.001 a 20.000;00025;PRAZA;GENERALISIMO;PRAZA GENERALISIMO;Praza Generalísimo;Francisco Franco
22663;03049;Callosa de Segura;03;Alicante;049;18200;De 10.001 a 20.000;00138;CALLE;RAMIRO LEDESMA RAMOS;CALLE RAMIRO LEDESMA RAMOS;Calle Ramiro Ledesma Ramos;Ramiro Ledesma
235648;11035;Tarifa;11;Cádiz;035;18011;De 10.001 a 20.000;02200;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
206261;10131;Navalmoral de la Mata;10;Cáceres;131;17156;De 10.001 a 20.000;00980;CALLE;GENERAL QUEIPO DE LLANO;CALLE GENERAL QUEIPO DE LLANO;Calle General Queipo de Llano;Gonzalo Queipo de Llano
206262;10131;Navalmoral de la Mata;10;Cáceres;131;17156;De 10.001 a 20.000;00990;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
54013;04052;Huércal de Almería;04;Almería;052;16823;De 10.001 a 20.000;00055;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
753786;44013;Alcañiz;44;Teruel;013;16230;De 10.001 a 20.000;00394;PLAZA;CAUDILLO;PLAZA CAUDILLO;Plaza Caudillo;Francisco Franco
11757;02069;La Roda;02;Albacete;069;15868;De 10.001 a 20.000;00790;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
11968;02069;La Roda;02;Albacete;069;15868;De 10.001 a 20.000;03180;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
399929;23024;La Carolina;23;Jaén;024;15673;De 10.001 a 20.000;00614;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
474922;28068;Guadarrama;28;Madrid;068;15538;De 10.001 a 20.000;00036;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
474925;28068;Guadarrama;28;Madrid;068;15538;De 10.001 a 20.000;00039;CALLE;QUEIPO DE LLANO;CALLE QUEIPO DE LLANO;Calle Queipo de Llano;Gonzalo Queipo de Llano
474923;28068;Guadarrama;28;Madrid;068;15538;De 10.001 a 20.000;00037;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
301654;16203;Tarancón;16;Cuenca;203;14922;De 10.001 a 20.000;00637;CALLE;BARRIO DEL GENERALISIMO;CALLE BARRIO DEL GENERALISIMO;Calle Barrio del Generalísimo;Francisco Franco
670147;38039;Santa Úrsula;38;Santa Cruz de Tenerife;039;14246;De 10.001 a 20.000;00366;PLAZA;GENERAL FRANCO;PLAZA GENERAL FRANCO;Plaza General Franco;Francisco Franco
458826;27057;Sarria;27;Lugo;057;13393;De 10.001 a 20.000;00038;RUA;JOSE ANTONIO;RUA JOSE ANTONIO;Rua José Antonio;José Antonio Primo de Rivera
784343;45173;Torrijos;45;Toledo;173;13273;De 10.001 a 20.000;00058;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
643249;37107;Ciudad Rodrigo;37;Salamanca;107;13052;De 10.001 a 20.000;01413;CALLE;GENERALISIMO;CALLE GENERALISIMO;Calle Generalísimo;Francisco Franco
643275;37107;Ciudad Rodrigo;37;Salamanca;107;13052;De 10.001 a 20.000;01439;CALLE;JOSE ANTONIO;CALLE JOSE ANTONIO;Calle José Antonio;José Antonio Primo de Rivera
261878;13078;Socuéllamos;13;Ciudad Real;078;12721;De 10.001 a 20.000;00082;PLAZA;GENERAL MOLA;PLAZA GENERAL MOLA;Plaza General Mola;Emilio Mola
261882;13078;Socuéllamos;13;Ciudad Real;078;12721;De 10.001 a 20.000;00086;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
261883;13078;Socuéllamos;13;Ciudad Real;078;12721;De 10.001 a 20.000;00087;CALLE;GENERALISIMO;CALLE GENERALISIMO;Calle Generalísimo;Francisco Franco
261927;13078;Socuéllamos;13;Ciudad Real;078;12721;De 10.001 a 20.000;00136;CALLE;RAMIRO LEDESMA;CALLE RAMIRO LEDESMA;Calle Ramiro Ledesma;Ramiro Ledesma
261950;13078;Socuéllamos;13;Ciudad Real;078;12721;De 10.001 a 20.000;00251;CALLE;GENERAL SANJURJO;CALLE GENERAL SANJURJO;Calle General Sanjurjo;José Sanjurjo
261879;13078;Socuéllamos;13;Ciudad Real;078;12721;De 10.001 a 20.000;00083;CALLE;GENERAL MOSCARDO;CALLE GENERAL MOSCARDO;Calle General Moscardó;José Moscardó
677416;39073;Santa Cruz de Bezana;39;Cantabria;073;12560;De 10.001 a 20.000;00270;PLAZA;GENERALISIMO;PLAZA GENERALISIMO;Plaza Generalísimo;Francisco Franco
715678;41079;La Puebla del Río;41;Sevilla;079;12114;De 10.001 a 20.000;00486;PBDO;QUEIPO DE LLANO;PBDO QUEIPO DE LLANO;Pbdo Queipo de Llano;Gonzalo Queipo de Llano
821624;46249;Utiel;46;Valencia;249;11915;De 10.001 a 20.000;01375;PLAZA;CAUDILLO (DEL) (CASAS);PLAZA CAUDILLO (DEL) (CASAS);Plaza del Caudillo (Las Casas);Francisco Franco
540273;30012;Bullas;30;Murcia;012;11753;De 10.001 a 20.000;00053;CALLE;GENERAL VARELA;CALLE GENERAL VARELA;Calle General Varela;José Enrique Varela
112285;07057;Santanyí;07;Baleares;057;11316;De 10.001 a 20.000;00105;PLAZA;GENERAL FRANCO;PLAZA GENERAL FRANCO;Plaza General Franco;Francisco Franco
404662;23058;Mancha Real;23;Jaén;058;11212;De 10.001 a 20.000;00054;CALLE;QUEIPO DE LLANO;CALLE QUEIPO DE LLANO;Calle Queipo de Llano;Gonzalo Queipo de Llano
769208;45066;Fuensalida;45;Toledo;066;11068;De 10.001 a 20.000;00035;CALLE;GENERAL MOLA;CALLE GENERAL MOLA;Calle General Mola;Emilio Mola
769210;45066;Fuensalida;45;Toledo;066;11068;De 10.001 a 20.000;00037;PLAZA;GENERAL VARELA;PLAZA GENERAL VARELA;Plaza General Varela;José Enrique Varela
