Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
"Monday, Monday",The Mamas & The Papas,18/07/1966,1,,Grupo,Pop
Un sorbito de champagne,Los Brincos,25/07/1966,2,,Grupo,Beat
Girl,The Beatles,6/08/1966,1,,Grupo,Pop
Paint It Black,The Rolling Stones,13/08/1966,1,,Grupo,Rock
Strangers in the Night,Frank Sinatra,20/08/1966,5,,Hombre,Jazz vocal
To Make A Big Man Cry,Tom Jones,24/09/1966,3,,Hombre,Pop rock
Black Is Black,Los Bravos,15/10/1966,6,,Grupo,Beat
Lady Pepa,Los Pekenikes,26/11/1966,1,instrumentral,Grupo,Rock
La resa dei conti,Ennio Morricone,3/12/1966,1,,Hombre,clásica
Como ayer,Bruno Lomas,10/12/1966,1,,Hombre,Rock
River Deep Mountain High,Ike & Tina Turner,17/12/1966,1,,Grupo,R&B
With A Girl Like You,The Troggs,24/12/1966,1,,Grupo,Beat
Sittin' & Thinkin',The Spencer Davis Group,31/12/1966,1,,Grupo,Beat
"Hi-Lili, Hi-Lo",Alan Price Set,7/01/1967,1,,Hombre,rock
La moto,Los Bravos,14/01/1967,3,,Grupo,Beat
Reach Out I'll Be There,The Four Tops,4/02/1967,2,,Grupo,R&B
Land Of 1000 Dances,Wilson Pickett,18/02/1967,1,,Hombre,R&B
Winchester Cathedral,The New Vaudeville Band,25/02/1967,2,,Grupo,Pop
Good Vibrations,The Beach Boys,11/03/1967,6,,Grupo,Surf
Hablemos del amor,Raphael,22/04/1967,2,,Grupo,Balada
Marionetas en la cuerda,Sandie Shaw,6/05/1967,8,,Mujer,Pop
Nada,Juan y Junior,1/07/1967,1,,Grupo,Pop
Inch' Allah,Adamo,8/07/1967,1,,Hombre,Balada
Lola,Los Brincos,15/07/1967,7,,Grupo,Beat
A Wither Shade Of Pale,Procol Harum,2/09/1967,2,,Grupo,Rock
Lola,Los Brincos,16/09/1967,1,,Grupo,Beat
All You Need Is Love,The Beatles,23/09/1967,3,,Grupo,Pop
San Francisco,Scott McKenzie,14/10/1967,2,,Hombre,Pop
Los chicos con las chicas,Los Bravos,28/10/1967,4,,Grupo,Beat
Aranjuez mon amour,Richard Anthony,25/11/1967,6,,Hombre,Rock
Cállate niña,Pic-Nic,7/01/1968,1,,Grupo,Pop
Aranjuez mon amour,Richard Anthony,14/01/1968,1,,Hombre,Rock
Cállate niña,Pic-Nic,20/01/1968,8,,Grupo,Pop
Soul Finger,The Bar-Kays,16/03/1968,1,,Grupo,	R&B
Pata Pata,Miriam Makeba,23/03/1968,2,,Mujer,Marabi
I'm Coming Home,Tom Jones,6/04/1968,2,,Hombre,Pop rock
"La, la, la",Massiel,20/04/1968,4,,Mujer,pop
Congratulations,Cliff Richard,18/05/1968,4,,Hombre,Rock
Delilah,Tom Jones,15/06/1968,15,,Hombre,Pop rock
Get On Your Knees,Los Canarios,28/09/1968,6,,Grupo,rock
"Oh Lord, Why Lord",Pop-Tops,9/11/1968,1,,Grupo,instrumental
Those Were The Days,Mary Hopkin,16/11/1968,3,,Mujer,Folk
Hey Jude,The Beatles,7/12/1968,1,,Grupo,Pop
Those Were The Days,Mary Hopkin,14/12/1968,5,,Mujer,Folk
Hey Jude,The Beatles,18/01/1969,1,,Grupo,Pop
Eloise,Barry Ryan,25/01/1969,5,,Hombre,pop
Las flechas del amor,Karina,1/03/1969,7,,Mujer,pop
Vivo cantando,Salomé,19/04/1969,2,,Mujer,Pop
Casatschock,Georgie Dann,3/05/1969,1,,Hombre,pop
Cuéntame,Fórmula V,10/05/1969,1,,Grupo,pop
Mama,Jean Jacques,17/05/1969,7,,Hombre,Pop
Get Back,The Beatles,5/07/1969,1,,Grupo,Pop
Mama,Jean Jacques,12/07/1969,1,,Hombre,Pop
María Isabel,Los Payos,19/07/1969,5,,Grupo,Pop latino
I'm Going Home,Ten Years After,23/08/1969,1,,Grupo,blues
María Isabel,Los Payos,30/08/1969,3,,Grupo,Pop latino
The Ballad Of John & Yoko,The Beatles,20/09/1969,1,,Grupo,Pop
María Isabel,Los Payos,27/09/1969,2,,Grupo,Pop latino
In The Ghetto,Elvis Presley,11/10/1969,2,,Hombre,Rock
La charanga,Juan Pardo,25/10/1969,1,,Hombre,Pop
In The Year 2525,Zager & Evans,1/11/1969,2,,Grupo,folk
"Sugar, Sugar",The Archies,15/11/1969,7,,Grupo,garage
Paxarinos,Víctor Manuel,3/01/1970,6,,Hombre,Pop
Venus,Shocking Blue,14/02/1970,6,,Grupo,rock
Gwendolyne,Julio Iglesias,28/03/1970,9,,Hombre,Pop latino
Un rayo de sol,Los Diablos,30/05/1970,15,,Grupo,pop
Corpiño xeitoso,Andrés do Barro,12/09/1970,2,,Hombre,autor
El cóndor pasa,Simon & Garfunkel,26/09/1970,6,,Grupo,Folk
Yellow River,Christie,7/11/1970,1,,Grupo,Rock
N'a veiriña do mar,María Ostiz,14/11/1970,3,,Mujer,folk
Quiero abrazarte tanto,Víctor Manuel,5/12/1970,2,,Hombre,Pop
"Te quiero, te quiero",Nino Bravo,19/12/1970,9,,Hombre,Pop
Candida,Dawn,20/02/1971,1,,Grupo,Pop
