fecha	pais	continente	indicador	valor
2020-06-01	Afganistán	Asia	casos_media_movil_7dias	660.4
2020-06-01	Afganistán	Asia	ia_7dias	11.88
2020-06-01	Albania	Europa	casos_media_movil_7dias	19.9
2020-06-01	Albania	Europa	ia_7dias	4.83
2020-06-01	Argelia	África	casos_media_movil_7dias	155.4
2020-06-01	Argelia	África	ia_7dias	2.48
2020-06-01	Angola	África	casos_media_movil_7dias	2.4
2020-06-01	Angola	África	ia_7dias	0.05
2020-06-01	Argentina	América	casos_media_movil_7dias	682.1
2020-06-01	Argentina	América	ia_7dias	10.57
2020-06-01	Armenia	Asia	casos_media_movil_7dias	374.4
2020-06-01	Armenia	Asia	ia_7dias	88.45
2020-06-01	Australia	Oceanía	casos_media_movil_7dias	12.3
2020-06-01	Australia	Oceanía	ia_7dias	0.34
2020-06-01	Austria	Europa	casos_media_movil_7dias	29
2020-06-01	Austria	Europa	ia_7dias	2.25
2020-06-01	Azerbaiyán	Asia	casos_media_movil_7dias	196
2020-06-01	Azerbaiyán	Asia	ia_7dias	13.53
2020-06-01	Bahrein	Asia	casos_media_movil_7dias	322.9
2020-06-01	Bahrein	Asia	ia_7dias	132.82
2020-06-01	Bangladesh	Asia	casos_media_movil_7dias	1934.7
2020-06-01	Bangladesh	Asia	ia_7dias	8.22
2020-06-01	Bielorrusia	Europa	casos_media_movil_7dias	908.3
2020-06-01	Bielorrusia	Europa	ia_7dias	67.29
2020-06-01	Bélgica	Europa	casos_media_movil_7dias	159
2020-06-01	Bélgica	Europa	ia_7dias	9.6
2020-06-01	Benín	África	casos_media_movil_7dias	5.9
2020-06-01	Benín	África	ia_7dias	0.34
2020-06-01	Bolivia	América	casos_media_movil_7dias	531.3
2020-06-01	Bolivia	América	ia_7dias	31.86
2020-06-01	Bosnia-Herzegovina	Europa	casos_media_movil_7dias	15.6
2020-06-01	Bosnia-Herzegovina	Europa	ia_7dias	3.32
2020-06-01	Botsuana	África	casos_media_movil_7dias	0.4
2020-06-01	Botsuana	África	ia_7dias	0.13
