iso3;pais;pais_esp;lat_pais;long_pais;poblacion
AFG;Afghanistan;Afganistán;33.677;65.216;37172386
ALA;Åland Islands;Islas Åland;60.198;19.952;#N/A
ALB;Albania;Albania;41.143;20.068;2866376
DZA;Algeria;Argelia;28.163;2.632;42228429
ASM;American Samoa;Samoa Americana;-14.318;-170.73;55465
AND;Andorra;Andorra;42.549;1.576;77006
AGO;Angola;Angola;-12.296;17.544;30809762
AIA;Anguilla;Anguila;18.237;-63.032;#N/A
ATA;Antarctica;Antártida;-80.446;21.304;#N/A
ATG;Antigua and Barbuda;Antigua y Barbuda;17.078;-61.783;96286
ARG;Argentina;Argentina;-35.377;-65.167;44494502
ARM;Armenia;Armenia;40.534;44.563;2951776
ABW;Aruba;Aruba;12.517;-69.977;105845
AUS;Australia;Australia;-24.973;136.189;24992369
AUT;Austria;Austria;47.683;14.912;8847037
AZE;Azerbaijan;Azerbaiyán;40.43;47.395;9942334
BHS;The Bahamas;Bahamas;24.628;-78.014;385640
BHR;Bahrain;Bahrein;26.019;50.562;1569439
BGD;Bangladesh;Bangladesh;24.218;89.941;161356039
BRB;Barbados;Barbados;13.153;-59.559;286641
BLR;Belarus;Bielorrusia;53.54;28.047;9485386
BEL;Belgium;Bélgica;50.643;4.664;11422068
BLZ;Belize;Belice;17.219;-88.602;383071
BEN;Benin;Benín;10.541;2.469;11485048
BMU;Bermuda;Bermudas;32.336;-64.709;63968
BTN;Bhutan;Bután;27.415;90.429;754394
BOL;Bolivia;Bolivia;-16.715;-64.671;11353142
BIH;Bosnia and Herzegovina;Bosnia-Herzegovina;44.169;17.786;3323929
BWA;Botswana;Botsuana;-22.182;23.815;2254126
BVT;Bouvet Island;Isla Bouvet;-54.422;3.412;#N/A
BRA;Brazil;Brasil;-10.772;-53.089;209469333
IOT;British Indian Ocean Territory;Territorio Británico del Océano Índico;-7.335;72.416;#N/A
VGB;British Virgin Islands;Islas Vírgenes Británicas;18.483;-64.39;29802
BRN;Brunei;Brunei;4.468;114.591;428962
BGR;Bulgaria;Bulgaria;42.761;25.231;7024216
BFA;Burkina Faso;Burkina Faso;12.278;-1.74;19751535
BDI;Burundi;Burundi;-3.356;29.887;11175378
KHM;Cambodia;Camboya;12.714;104.564;16249798
CMR;Cameroon;Camerún;5.133;12.277;25216237
CAN;Canada;Canadá;59.081;-109.433;37058856
CPV;Cape Verde;Cabo Verde;15.071;-23.634;543767
CYM;Cayman Islands;Islas Caimán;19.314;-81.198;64174
CAF;Central African Republic;República Centroafricana;6.571;20.483;4666377
TCD;Chad;Chad;15.361;18.665;15477751
CHL;Chile;Chile;-23.389;-69.433;18729160
CHN;China;China;33.42;106.514;1392730000
CXR;Christmas Island;Isla de Navidad;-10.444;105.704;#N/A
CCK;Cocos (Keeling) Islands;Islas Cocos;-12.173;96.839;#N/A
COL;Colombia;Colombia;3.9;-73.076;49648685
COM;Comoros;Comoras;-11.758;43.337;832322
COD;Congo (Kinshasa);Congo (Kinshasa);-2.876;23.654;84068091
COG;Republic of the Congo;Congo (Brazzaville);-0.055;15.986;5244363
COG;Congo (Brazzaville);Congo (Brazzaville);-0.055;15.986;5244363
COK;Cook Islands;Islas Cook;-21.219;-159.782;#N/A
CRI;Costa Rica;Costa Rica;9.971;-83.946;4999441
CIV;Cote d'Ivoire;Costa de Marfil;7.632;-5.556;25069229
HRV;Croatia;Croacia;45.723;16.693;4089400
;Cruise Ship;Crucero de Japón;35.4437;139.638;
CUB;Cuba;Cuba;21.297;-77.781;11338138
CYP;Cyprus;Chipre;35.043;33.219;1189265
CZE;Czechia;República Checa;49.743;15.338;10625695
DNK;Denmark;Dinamarca;56.058;9.264;5797446
DJI;Djibouti;Yibuti;11.9;42.516;958920
DMA;Dominica;Dominica;15.475;-61.356;71625
DOM;Dominican Republic;República Dominicana;19.015;-70.729;10627165
ECU;Ecuador;Ecuador;-1.385;-78.497;17084357
EGY;Egypt;Egipto;26.494;29.872;98423595
SLV;El Salvador;El Salvador;13.736;-88.866;6420744
GNQ;Equatorial Guinea;Guinea Ecuatorial;1.607;10.488;1308974
ERI;Eritrea;Eritrea;16.045;38.219;0
EST;Estonia;Estonia;58.674;25.793;1320884
ETH;Ethiopia;Etiopía;8.626;39.616;109224559
FLK;Falkland Islands (Malvinas);Islas Malvinas;-51.665;-58.694;#N/A
FRO;Faroe Islands;Islas Feroe;62.05;-6.864;48497
FJI;Fiji;Fiyi;-17.819;177.974;883483
FIN;Finland;Finlandia;64.504;26.272;5518050
