idpro;iso;provincia_ine;provincia_buena;poblacion
2;AB;Albacete;Albacete;389830
3;A;Alicante/Alacant;Alicante;1885214
4;AL;Almería;Almería;715406
1;VI;Araba/Álava;Álava;329857
33;O;Asturias;Asturias;1018775
5;AV;Ávila;Ávila;158930
6;BA;Badajoz;Badajoz;670782
7;PM;Balears, Illes;Baleares;1210750
8;B;Barcelona;Barcelona;5635043
48;BI;Bizkaia;Bizkaia;1142923
9;BU;Burgos;Burgos;355777
10;CC;Cáceres;Cáceres;390986
11;CA;Cádiz;Cádiz;1254628
39;S;Cantabria;Cantabria;582357
12;CS;Castellón/Castelló;Castellón;574900
13;CR;Ciudad Real;Ciudad Real;494128
14;CO;Córdoba;Córdoba;784256
15;C;Coruña, A;A Coruña;1123480
16;CU;Cuenca;Cuenca;199828
20;SS;Gipuzkoa;Gipuzkoa;716530
17;GI;Girona;Girona;767119
18;GR;Granada;Granada;925059
19;GU;Guadalajara;Guadalajara;262403
21;H;Huelva;Huelva;528059
22;HU;Huesca;Huesca;220657
23;J;Jaén;Jaén;628841
24;LE;León;León;459141
25;L;Lleida;Lleida;435607
27;LU;Lugo;Lugo;328153
28;M;Madrid;Madrid;6747425
29;MA;Málaga;Málaga;1683271
30;MU;Murcia;Murcia;1504607
31;NA;Navarra;Navarra;656487
32;OR;Ourense;Ourense;306802
34;P;Palencia;Palencia;159846
35;GC;Palmas, Las;Las Palmas;1151352
36;PO;Pontevedra;Pontevedra;943809
26;LO;Rioja, La;La Rioja;315926
37;SA;Salamanca;Salamanca;331048
38;TF;Santa Cruz de Tenerife;Santa Cruz de Tenerife;1085958
40;SG;Segovia;Segovia;154228
41;SE;Sevilla;Sevilla;1957197
42;SO;Soria;Soria;89912
43;T;Tarragona;Tarragona;814300
44;TE;Teruel;Teruel;133291
45;TO;Toledo;Toledo;699195
46;V;Valencia/València;Valencia;2568536
47;VA;Valladolid;Valladolid;520716
49;ZA;Zamora;Zamora;171630
50;Z;Zaragoza;Zaragoza;976498
51;CE;Ceuta;Ceuta;84032
52;ME;Melilla;Melilla;84496
