pais,fecha,pais_esp,lat,long,var_casos
China,2020-01-23,China,33.4200,106.5140,95
Thailand,2020-01-23,Tailandia,15.7000,100.8440,1
China,2020-01-24,China,33.4200,106.5140,277
"Korea, South",2020-01-24,Corea del Sur,36.5040,128.1030,1
US,2020-01-24,Estados Unidos,39.6220,-98.6060,1
Japan,2020-01-24,Japón,36.4910,139.0680,1
Singapore,2020-01-24,Singapur,1.3510,103.8080,2
Thailand,2020-01-24,Tailandia,15.7000,100.8440,2
Taiwan*,2020-01-24,Taiwán,23.7540,120.9460,2
China,2020-01-25,China,33.4200,106.5140,486
France,2020-01-25,Francia,46.5650,2.5500,1
Thailand,2020-01-25,Tailandia,15.7000,100.8440,2
China,2020-01-26,China,33.4200,106.5140,669
"Korea, South",2020-01-26,Corea del Sur,36.5040,128.1030,1
US,2020-01-26,Estados Unidos,39.6220,-98.6060,3
Japan,2020-01-26,Japón,36.4910,139.0680,2
Malaysia,2020-01-26,Malasia,4.2010,102.1950,1
Singapore,2020-01-26,Singapur,1.3510,103.8080,1
Thailand,2020-01-26,Tailandia,15.7000,100.8440,1
Taiwan*,2020-01-26,Taiwán,23.7540,120.9460,1
Australia,2020-01-27,Australia,-24.9730,136.1890,1
China,2020-01-27,China,33.4200,106.5140,802
"Korea, South",2020-01-27,Corea del Sur,36.5040,128.1030,1
Singapore,2020-01-27,Singapur,1.3510,103.8080,1
Taiwan*,2020-01-27,Taiwán,23.7540,120.9460,1
Germany,2020-01-28,Alemania,51.1100,9.8510,3
Canada,2020-01-28,Canadá,59.0810,-109.4330,1
China,2020-01-28,China,33.4200,106.5140,2632
France,2020-01-28,Francia,46.5650,2.5500,1
Japan,2020-01-28,Japón,36.4910,139.0680,3
Singapore,2020-01-28,Singapur,1.3510,103.8080,2
Thailand,2020-01-28,Tailandia,15.7000,100.8440,6
Taiwan*,2020-01-28,Taiwán,23.7540,120.9460,3
Australia,2020-01-29,Australia,-24.9730,136.1890,1
China,2020-01-29,China,33.4200,106.5140,578
France,2020-01-29,Francia,46.5650,2.5500,1
Malaysia,2020-01-29,Malasia,4.2010,102.1950,3
Australia,2020-01-30,Australia,-24.9730,136.1890,3
China,2020-01-30,China,33.4200,106.5140,2054
Japan,2020-01-30,Japón,36.4910,139.0680,4
Malaysia,2020-01-30,Malasia,4.2010,102.1950,1
Singapore,2020-01-30,Singapur,1.3510,103.8080,3
Taiwan*,2020-01-30,Taiwán,23.7540,120.9460,1
Germany,2020-01-31,Alemania,51.1100,9.8510,1
Canada,2020-01-31,Canadá,59.0810,-109.4330,2
China,2020-01-31,China,33.4200,106.5140,1661
"Korea, South",2020-01-31,Corea del Sur,36.5040,128.1030,7
US,2020-01-31,Estados Unidos,39.6220,-98.6060,2
Japan,2020-01-31,Japón,36.4910,139.0680,4
Singapore,2020-01-31,Singapur,1.3510,103.8080,3
Thailand,2020-01-31,Tailandia,15.7000,100.8440,5
Taiwan*,2020-01-31,Taiwán,23.7540,120.9460,1
Germany,2020-02-01,Alemania,51.1100,9.8510,3
Australia,2020-02-01,Australia,-24.9730,136.1890,3
China,2020-02-01,China,33.4200,106.5140,2089
"Korea, South",2020-02-01,Corea del Sur,36.5040,128.1030,1
US,2020-02-01,Estados Unidos,39.6220,-98.6060,1
France,2020-02-01,Francia,46.5650,2.5500,1
Japan,2020-02-01,Japón,36.4910,139.0680,5
Singapore,2020-02-01,Singapur,1.3510,103.8080,3
Vietnam,2020-02-01,Vietnam,21.4910,105.3140,4
Germany,2020-02-02,Alemania,51.1100,9.8510,2
China,2020-02-02,China,33.4200,106.5140,4739
"Korea, South",2020-02-02,Corea del Sur,36.5040,128.1030,3
United Arab Emirates,2020-02-02,Emiratos Árabes Unidos,23.5490,54.1630,1
Philippines,2020-02-02,Filipinas,11.1180,122.4660,1
India,2020-02-02,India,21.0000,78.5000,1
Singapore,2020-02-02,Singapur,1.3510,103.8080,2
Germany,2020-02-03,Alemania,51.1100,9.8510,2
China,2020-02-03,China,33.4200,106.5140,3086
US,2020-02-03,Estados Unidos,39.6220,-98.6060,3
India,2020-02-03,India,21.0000,78.5000,1
Vietnam,2020-02-03,Vietnam,21.4910,105.3140,2
Australia,2020-02-04,Australia,-24.9730,136.1890,1
China,2020-02-04,China,33.4200,106.5140,3991
"Korea, South",2020-02-04,Corea del Sur,36.5040,128.1030,1
Japan,2020-02-04,Japón,36.4910,139.0680,2
Malaysia,2020-02-04,Malasia,4.2010,102.1950,2
Singapore,2020-02-04,Singapur,1.3510,103.8080,6
Thailand,2020-02-04,Tailandia,15.7000,100.8440,6
Taiwan*,2020-02-04,Taiwán,23.7540,120.9460,1
Canada,2020-02-05,Canadá,59.0810,-109.4330,1
China,2020-02-05,China,33.4200,106.5140,3733
"Korea, South",2020-02-05,Corea del Sur,36.5040,128.1030,3
Malaysia,2020-02-05,Malasia,4.2010,102.1950,2
Singapore,2020-02-05,Singapur,1.3510,103.8080,4
Australia,2020-02-06,Australia,-24.9730,136.1890,1
China,2020-02-06,China,33.4200,106.5140,3147
"Korea, South",2020-02-06,Corea del Sur,36.5040,128.1030,4
Japan,2020-02-06,Japón,36.4910,139.0680,23
Taiwan*,2020-02-06,Taiwán,23.7540,120.9460,5
Vietnam,2020-02-06,Vietnam,21.4910,105.3140,2
Germany,2020-02-07,Alemania,51.1100,9.8510,1
Australia,2020-02-07,Australia,-24.9730,136.1890,1
Canada,2020-02-07,Canadá,59.0810,-109.4330,2
China,2020-02-07,China,33.4200,106.5140,3523
"Korea, South",2020-02-07,Corea del Sur,36.5040,128.1030,1
Philippines,2020-02-07,Filipinas,11.1180,122.4660,1
Italy,2020-02-07,Italia,42.7000,12.8000,1
United Kingdom,2020-02-07,Reino Unido,53.0000,-1.6000,1
Singapore,2020-02-07,Singapur,1.3510,103.8080,2
China,2020-02-08,China,33.4200,106.5140,2704
United Arab Emirates,2020-02-08,Emiratos Árabes Unidos,23.5490,54.1630,2
France,2020-02-08,Francia,46.5650,2.5500,5
Malaysia,2020-02-08,Malasia,4.2010,102.1950,4
Singapore,2020-02-08,Singapur,1.3510,103.8080,3
Thailand,2020-02-08,Tailandia,15.7000,100.8440,7
Taiwan*,2020-02-08,Taiwán,23.7540,120.9460,1
Vietnam,2020-02-08,Vietnam,21.4910,105.3140,3
Germany,2020-02-09,Alemania,51.1100,9.8510,1
China,2020-02-09,China,33.4200,106.5140,3015
"Korea, South",2020-02-09,Corea del Sur,36.5040,128.1030,1
Cruise Ship,2020-02-09,Crucero de Japón,35.4437,139.6380,3
Spain,2020-02-09,España,40.2270,-3.6490,1
Japan,2020-02-09,Japón,36.4910,139.0680,1
Singapore,2020-02-09,Singapur,1.3510,103.8080,7
Taiwan*,2020-02-09,Taiwán,23.7540,120.9460,1
China,2020-02-10,China,33.4200,106.5140,2525
"Korea, South",2020-02-10,Corea del Sur,36.5040,128.1030,2
Cruise Ship,2020-02-10,Crucero de Japón,35.4437,139.6380,71
United Arab Emirates,2020-02-10,Emiratos Árabes Unidos,23.5490,54.1630,1
Malaysia,2020-02-10,Malasia,4.2010,102.1950,2
United Kingdom,2020-02-10,Reino Unido,53.0000,-1.6000,5
Singapore,2020-02-10,Singapur,1.3510,103.8080,5
Vietnam,2020-02-10,Vietnam,21.4910,105.3140,1
