fecha_buena,Afganistán,Albania,Alemania,Andorra,Angola,Antigua y Barbuda,Arabia Saudí,Argelia,Argentina,Armenia,Australia,Austria,Azerbaiyán,Bahrein,Bangladesh,Barbados,Bélgica,Belice,Benín,Bielorrusia,Bolivia,Bosnia-Herzegovina,Botsuana,Brasil,Brunei,Bulgaria,Burkina Faso,Burundi,Bután,Camboya,Camerún,Canadá,Chad,Chile,China,Chipre,Ciudad del Vaticano,Colombia,Comoras,Congo (Brazzaville),Congo (Kinshasa),Corea del Sur,Costa Rica,Croacia,Cuba,Dinamarca,Dominica,Ecuador,Egipto,El Salvador,Emiratos Árabes Unidos,Eritrea,Eslovaquia,Eslovenia,España,Estados Unidos,Estonia,Esuatini,Etiopía,Filipinas,Finlandia,Fiyi,Francia,Gabón,Gambia,Georgia,Ghana,Granada,Grecia,Guatemala,Guinea,Guinea-Bisáu,Guinea Ecuatorial,Guyana,Haití,Honduras,Hungría,India,Indonesia,Irak,Irán,Irlanda,Islandia,Israel,Italia,Jamaica,Japón,Jordania,Kazajistán,Kenia,Kirguistán,Kosovo,Kuwait,Lesotho,Letonia,Líbano,Liberia,Libia,Liechtenstein,Lituania,Luxemburgo,Macedonia del Norte,Madagascar,Malasia,Malaui,Maldivas,Mali,Malta,Marruecos,Mauricio,Mauritania,México,Moldavia,Mónaco,Mongolia,Montenegro,Mozambique,Namibia,Nepal,Nicaragua,Níger,Nigeria,Noruega,Nueva Zelanda,Omán,Países Bajos,Pakistán,Panamá,Papúa Nueva Guinea,Paraguay,Perú,Polonia,Portugal,Qatar,Reino Unido,República Centroafricana,República Checa,República Dominicana,Ruanda,Rumanía,Rusia,Sahara Occidental,San Cristóbal y Nieves,San Marino,San Vicente y las Granadinas,Santa Lucía,Santo Tomé y Príncipe,Senegal,Serbia,Seychelles,Sierra Leona,Singapur,Somalia,Sri Lanka,Sudáfrica,Sudán,Sudán del Sur,Suecia,Suiza,Surinam,Tailandia,Taiwán,Tanzania,Tayikistán,Timor Oriental,Togo,Trinidad y Tobago,Túnez,Turquía,Ucrania,Uganda,Uruguay,Uzbekistán,Venezuela,Vietnam,Yemen,Yibuti,Zambia,Zimbabue
2020-03-01,0,0,16,0,0,0,0,0,0,0,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,416,0,0,0,0,0,0,448,0,1,0,1,0,1,0,0,1,0,0,0,12,2,0,0,0,0,1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,134,0,0,1,220,0,16,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,20,0,0,0,0,0,0,0,2,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,414,0,0,0,0,0,0,500,0,1,0,1,0,1,0,0,1,0,0,0,17,5,0,0,0,0,1,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,206,0,1,1,258,0,17,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,3,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,26,0,0,0,0,1,0,0,3,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,358,0,0,0,0,0,0,601,0,1,0,1,0,1,0,0,2,0,0,0,23,8,0,0,0,0,1,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,320,0,2,2,311,0,18,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,1,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,34,0,0,0,0,2,0,0,5,4,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,317,0,0,0,0,0,0,623,0,1,0,2,0,1,0,0,2,0,0,0,30,13,0,0,0,0,1,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,398,1,4,2,377,0,20,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2,5,0,0,0,0,0,0,1,1,30,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,9,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,62,0,0,0,1,2,0,0,6,5,1,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,277,0,0,0,0,0,0,617,0,1,0,1,0,2,0,0,2,0,0,0,35,22,0,0,0,0,1,0,49,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,467,1,5,2,458,0,21,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,12,1,0,0,0,0,0,1,1,36,0,2,0,0,1,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,12,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,89,0,0,0,1,2,0,0,6,7,1,3,0,0,15,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,2,252,0,0,0,0,0,0,608,0,1,0,3,0,2,2,0,1,0,0,1,53,28,1,0,0,0,2,0,86,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,5,623,3,6,5,535,0,26,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,2,18,0,0,0,0,0,1,2,1,45,0,3,0,0,1,2,0,0,3,0,0,0,1,0,0,0,5,0,0,0,0,0,19,29,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,103,0,0,0,1,2,1,0,5,10,1,6,0,0,24,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,2,202,0,0,0,0,0,0,556,0,1,0,3,0,2,2,0,3,0,0,1,65,45,1,0,0,0,2,0,123,0,0,0,0,0,6,0,0,0,0,0,0,0,1,4,1,6,747,2,7,5,679,0,32,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,26,0,0,0,0,0,1,3,1,53,0,3,0,0,1,2,0,0,3,0,0,0,1,0,0,0,5,0,0,0,0,0,24,36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,130,0,0,0,2,3,2,0,7,13,1,5,0,0,28,0,0,1,0,0,0,3,0,1,0,0,0,0,0,6,0,2,127,0,0,0,0,0,0,511,1,1,0,5,0,1,7,0,3,0,0,2,84,60,1,0,0,1,2,0,144,0,0,1,0,0,9,0,0,0,0,0,0,0,1,5,1,6,798,3,7,7,812,0,34,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,36,0,0,0,0,1,2,4,2,56,0,4,1,0,2,2,0,0,5,0,0,0,1,0,0,0,6,0,0,0,0,0,30,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-03-09,0,0,145,0,0,0,2,2,2,0,9,16,1,7,0,0,33,0,0,1,0,0,0,3,0,1,0,0,0,0,0,7,0,2,103,0,0,0,0,0,0,449,1,1,0,13,0,1,8,0,3,0,0,2,136,66,1,0,0,2,3,0,147,0,0,2,0,0,9,0,0,0,0,0,0,0,1,5,2,5,809,3,7,7,1019,0,36,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,43,2,0,0,0,1,2,4,2,71,0,4,1,0,2,2,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,44,47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-03-10,1,1,180,0,0,0,3,2,2,0,10,23,1,9,0,0,36,0,0,1,0,1,0,4,0,1,0,0,0,0,0,7,0,2,89,0,0,0,0,0,0,332,1,1,0,37,0,1,8,0,7,0,1,4,219,92,1,0,0,4,5,0,227,0,0,2,0,0,12,0,0,0,0,0,0,0,1,7,4,6,815,5,8,9,1092,0,41,0,0,0,0,0,2,0,1,4,0,0,0,0,1,1,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,1,51,2,0,0,0,2,3,6,2,100,0,5,1,0,3,2,0,0,6,0,0,0,0,1,0,0,7,0,0,1,0,0,56,62,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
