fecha_buena,pais_esp,var_casos
2020-09-24,India,86508
2020-09-24,Brasil,66338
2020-09-24,Estados Unidos,44110
2020-09-24,Francia,27833
2020-09-24,Argentina,13467
2020-09-24,España,10653
2020-09-24,Israel,7425
2020-09-24,Reino Unido,6644
2020-09-24,Colombia,6555
2020-09-24,Rusia,6489
2020-09-24,Perú,6149
2020-09-24,México,5408
2020-09-24,Indonesia,4634
2020-09-24,Irak,4471
2020-09-24,Irán,3521
2020-09-24,Ucrania,3478
2020-09-24,República Checa,2910
2020-09-24,Países Bajos,2595
2020-09-24,Marruecos,2356
2020-09-24,Alemania,2321
2020-09-24,Filipinas,2164
2020-09-24,Bélgica,1881
2020-09-24,Sudáfrica,1861
2020-09-24,Italia,1786
2020-09-24,Chile,1731
2020-09-24,Turquía,1721
2020-09-24,Rumanía,1639
2020-09-24,Bangladesh,1540
2020-09-24,Nepal,1497
2020-09-24,Costa Rica,1400
2020-09-24,Ecuador,1254
2020-09-24,Canadá,1148
2020-09-24,Polonia,1136
2020-09-24,Líbano,1027
2020-09-24,Emiratos Árabes Unidos,1002
2020-09-24,Venezuela,967
2020-09-24,Paraguay,833
2020-09-24,Austria,832
2020-09-24,Túnez,826
2020-09-24,Pakistán,798
2020-09-24,Hungría,750
2020-09-24,Panamá,736
2020-09-24,Moldavia,721
2020-09-24,Portugal,691
2020-09-24,Bahrein,687
2020-09-24,Bolivia,628
2020-09-24,Etiopía,604
2020-09-24,Omán,568
2020-09-24,Dinamarca,563
2020-09-24,Uzbekistán,559
2020-09-24,Kuwait,552
2020-09-24,Jordania,549
2020-09-24,Libia,535
2020-09-24,Suecia,533
2020-09-24,Honduras,518
2020-09-24,Arabia Saudí,498
2020-09-24,Guatemala,491
2020-09-24,Japón,481
2020-09-24,Suiza,391
2020-09-24,República Dominicana,385
2020-09-24,Armenia,374
2020-09-24,Eslovaquia,360
2020-09-24,Botsuana,354
2020-09-24,Grecia,341
2020-09-24,Irlanda,319
2020-09-24,Bielorrusia,294
2020-09-24,Bulgaria,290
2020-09-24,Montenegro,289
2020-09-24,Georgia,259
2020-09-24,Qatar,250
2020-09-24,El Salvador,247
2020-09-24,Bosnia-Herzegovina,235
2020-09-24,Croacia,232
2020-09-24,Jamaica,193
2020-09-24,Uganda,185
2020-09-24,Argelia,179
2020-09-24,Azerbaiyán,162
2020-09-24,Macedonia del Norte,151
2020-09-24,Kenia,141
2020-09-24,Egipto,138
2020-09-24,Lituania,138
2020-09-24,Mozambique,137
2020-09-24,Albania,134
2020-09-24,Noruega,129
2020-09-24,Kirguistán,127
2020-09-24,Nigeria,125
2020-09-24,Eslovenia,122
2020-09-24,Corea del Sur,114
2020-09-24,Angola,112
2020-09-24,Trinidad y Tobago,99
2020-09-24,Finlandia,91
2020-09-24,Serbia,83
2020-09-24,Namibia,77
2020-09-24,Malasia,71
2020-09-24,Ghana,69
2020-09-24,Luxemburgo,68
2020-09-24,Kazajistán,61
2020-09-24,Maldivas,54
2020-09-24,Zambia,48
2020-09-24,Lesotho,47
2020-09-24,Tayikistán,45
2020-09-24,Guyana,44
2020-09-24,Estonia,43
2020-09-24,Malta,42
2020-09-24,Cuba,40
2020-09-24,Islandia,36
2020-09-24,Esuatini,32
2020-09-24,Zimbabue,27
2020-09-24,Afganistán,25
2020-09-24,Madagascar,24
2020-09-24,Camerún,22
2020-09-24,Haití,22
2020-09-24,Letonia,22
2020-09-24,Burkina Faso,21
2020-09-24,Senegal,21
2020-09-24,Australia,20
2020-09-24,Congo (Kinshasa),18
2020-09-24,China,15
2020-09-24,Singapur,15
2020-09-24,Sudán,14
2020-09-24,Uruguay,13
2020-09-24,Gambia,10
2020-09-24,Ruanda,10
2020-09-24,Surinam,10
2020-09-24,Chipre,9
2020-09-24,Sri Lanka,9
2020-09-24,Mauritania,8
2020-09-24,Chad,7
2020-09-24,Mali,7
2020-09-24,Mónaco,6
2020-09-24,Togo,6
2020-09-24,Eritrea,5
2020-09-24,Sierra Leona,5
2020-09-24,Sudán del Sur,5
2020-09-24,Comoras,4
2020-09-24,Papúa Nueva Guinea,4
2020-09-24,San Marino,4
2020-09-24,Tailandia,3
2020-09-24,Bután,2
2020-09-24,Nueva Zelanda,2
2020-09-24,República Centroafricana,2
2020-09-24,Santo Tomé y Príncipe,2
2020-09-24,Brunei,1
2020-09-24,Burundi,1
2020-09-24,Liberia,1
2020-09-24,Malaui,1
2020-09-24,Níger,1
2020-09-24,Andorra,0
2020-09-24,Antigua y Barbuda,0
2020-09-24,Barbados,0
2020-09-24,Belice,0
2020-09-24,Benín,0
2020-09-24,Camboya,0
2020-09-24,Ciudad del Vaticano,0
2020-09-24,Congo (Brazzaville),0
2020-09-24,Dominica,0
2020-09-24,Fiyi,0
2020-09-24,Gabón,0
2020-09-24,Granada,0
2020-09-24,Guinea,0
2020-09-24,Guinea-Bisáu,0
2020-09-24,Guinea Ecuatorial,0
2020-09-24,Kosovo,0
2020-09-24,Liechtenstein,0
2020-09-24,Mauricio,0
2020-09-24,Mongolia,0
2020-09-24,Nicaragua,0
2020-09-24,Sahara Occidental,0
2020-09-24,San Cristóbal y Nieves,0
2020-09-24,San Vicente y las Granadinas,0
2020-09-24,Santa Lucía,0
2020-09-24,Seychelles,0
2020-09-24,Somalia,0
2020-09-24,Taiwán,0
2020-09-24,Tanzania,0
2020-09-24,Timor Oriental,0
2020-09-24,Vietnam,0
2020-09-24,Yemen,0
2020-09-24,Yibuti,0
