cod_cruzar,lugar,cod_lugar..00.,fecha..DD.MM.AAAA.,fallecidos_ccaa,fallecidos_ministerio,X,Datos.de.prueba..solo.Aragón..Hacer.medias.móviles.7.días..supondría.añadir.dos.columnas.que.serían.las.que.visualizarían.
244145,Aragón,2,10/11/2020,4,#N/A,NA,NA
244144,Aragón,2,09/11/2020,13,4,NA,NA
244143,Aragón,2,08/11/2020,2,26,NA,NA
244142,Aragón,2,07/11/2020,18,20,NA,NA
244141,Aragón,2,06/11/2020,9,37,NA,NA
244140,Aragón,2,05/11/2020,11,25,NA,NA
244139,Aragón,2,04/11/2020,5,30,NA,NA
244138,Aragón,2,03/11/2020,7,20,NA,NA
244137,Aragón,2,02/11/2020,2,16,NA,NA
244136,Aragón,2,01/11/2020,1,14,NA,NA
244135,Aragón,2,31/10/2020,3,14,NA,NA
244134,Aragón,2,30/10/2020,20,16,NA,NA
244133,Aragón,2,29/10/2020,6,12,NA,NA
244132,Aragón,2,28/10/2020,7,12,NA,NA
244131,Aragón,2,27/10/2020,10,22,NA,NA
244130,Aragón,2,26/10/2020,1,8,NA,NA
244129,Aragón,2,25/10/2020,0,7,NA,NA
244128,Aragón,2,24/10/2020,0,6,NA,NA
244127,Aragón,2,23/10/2020,7,19,NA,NA
244126,Aragón,2,22/10/2020,13,12,NA,NA
244125,Aragón,2,21/10/2020,2,7,NA,NA
244124,Aragón,2,20/10/2020,10,17,NA,NA
244123,Aragón,2,19/10/2020,4,10,NA,NA
244122,Aragón,2,18/10/2020,0,1,NA,NA
244121,Aragón,2,17/10/2020,0,8,NA,NA
244120,Aragón,2,16/10/2020,7,8,NA,NA
244119,Aragón,2,15/10/2020,6,7,NA,NA
244118,Aragón,2,14/10/2020,10,5,NA,NA
244117,Aragón,2,13/10/2020,4,7,NA,NA
244116,Aragón,2,12/10/2020,0,5,NA,NA
244115,Aragón,2,11/10/2020,0,3,NA,NA
244114,Aragón,2,10/10/2020,0,4,NA,NA
244113,Aragón,2,09/10/2020,7,3,NA,NA
244112,Aragón,2,08/10/2020,4,9,NA,NA
244111,Aragón,2,07/10/2020,37,4,NA,NA
244110,Aragón,2,06/10/2020,6,13,NA,NA
244109,Aragón,2,05/10/2020,0,10,NA,NA
244108,Aragón,2,04/10/2020,0,4,NA,NA
244107,Aragón,2,03/10/2020,0,3,NA,NA
244106,Aragón,2,02/10/2020,8,3,NA,NA
244105,Aragón,2,01/10/2020,2,14,NA,NA
244104,Aragón,2,30/09/2020,6,3,NA,NA
244103,Aragón,2,29/09/2020,6,9,NA,NA
244102,Aragón,2,28/09/2020,8,4,NA,NA
244101,Aragón,2,27/09/2020,0,3,NA,NA
244100,Aragón,2,26/09/2020,0,14,NA,NA
244099,Aragón,2,25/09/2020,13,5,NA,NA
244098,Aragón,2,24/09/2020,2,8,NA,NA
244097,Aragón,2,23/09/2020,19,9,NA,NA
244096,Aragón,2,22/09/2020,7,13,NA,NA
244095,Aragón,2,21/09/2020,12,11,NA,NA
244094,Aragón,2,20/09/2020,0,5,NA,NA
244093,Aragón,2,19/09/2020,0,7,NA,NA
244092,Aragón,2,18/09/2020,7,6,NA,NA
244091,Aragón,2,17/09/2020,7,8,NA,NA
244090,Aragón,2,16/09/2020,8,5,NA,NA
244089,Aragón,2,15/09/2020,6,11,NA,NA
244088,Aragón,2,14/09/2020,18,3,NA,NA
244087,Aragón,2,13/09/2020,0,10,NA,NA
244086,Aragón,2,12/09/2020,0,9,NA,NA
244085,Aragón,2,11/09/2020,12,6,NA,NA
244084,Aragón,2,10/09/2020,7,9,NA,NA
244083,Aragón,2,09/09/2020,12,8,NA,NA
244082,Aragón,2,08/09/2020,8,12,NA,NA
244081,Aragón,2,07/09/2020,1,8,NA,NA
244080,Aragón,2,06/09/2020,0,3,NA,NA
244079,Aragón,2,05/09/2020,0,2,NA,NA
244078,Aragón,2,04/09/2020,10,4,NA,NA
244077,Aragón,2,03/09/2020,5,3,NA,NA
244076,Aragón,2,02/09/2020,14,10,NA,NA
244075,Aragón,2,01/09/2020,5,13,NA,NA
244074,Aragón,2,31/08/2020,2,7,NA,NA
244073,Aragón,2,30/08/2020,0,6,NA,NA
244072,Aragón,2,29/08/2020,0,1,NA,NA
244071,Aragón,2,28/08/2020,0,3,NA,NA
244070,Aragón,2,27/08/2020,5,10,NA,NA
244069,Aragón,2,26/08/2020,6,2,NA,NA
244068,Aragón,2,25/08/2020,11,9,NA,NA
244067,Aragón,2,24/08/2020,0,3,NA,NA
244066,Aragón,2,23/08/2020,0,12,NA,NA
244065,Aragón,2,22/08/2020,0,9,NA,NA
244064,Aragón,2,21/08/2020,0,12,NA,NA
244063,Aragón,2,20/08/2020,14,6,NA,NA
244062,Aragón,2,19/08/2020,14,15,NA,NA
244061,Aragón,2,18/08/2020,25,17,NA,NA
244060,Aragón,2,17/08/2020,0,8,NA,NA
244059,Aragón,2,16/08/2020,0,5,NA,NA
244058,Aragón,2,15/08/2020,0,5,NA,NA
244057,Aragón,2,14/08/2020,14,11,NA,NA
244056,Aragón,2,13/08/2020,0,6,NA,NA
