Serie,Fecha,CCAA,Fallecidos
07_02_2020,13/02/2020,AndalucÃ­a,0
07_02_2020,13/02/2020,AragÃ³n,0
07_02_2020,13/02/2020,Asturias,0
07_02_2020,13/02/2020,Baleares,0
07_02_2020,13/02/2020,Canarias,0
07_02_2020,13/02/2020,Cantabria,0
07_02_2020,13/02/2020,Castilla La Mancha,0
07_02_2020,13/02/2020,Castilla y LeÃ³n,0
07_02_2020,13/02/2020,CataluÃ±a,0
07_02_2020,13/02/2020,Ceuta,0
07_02_2020,13/02/2020,C. Valenciana,1
07_02_2020,13/02/2020,Extremadura,0
07_02_2020,13/02/2020,Galicia,0
07_02_2020,13/02/2020,Madrid,0
07_02_2020,13/02/2020,Melilla,0
07_02_2020,13/02/2020,Murcia,0
07_02_2020,13/02/2020,Navarra,0
07_02_2020,13/02/2020,PaÃ­s Vasco,0
07_02_2020,13/02/2020,La Rioja,0
07_02_2020,13/02/2020,EspaÃ±a,1
07_02_2020,14/02/2020,AndalucÃ­a,0
07_02_2020,14/02/2020,AragÃ³n,0
07_02_2020,14/02/2020,Asturias,0
07_02_2020,14/02/2020,Baleares,0
07_02_2020,14/02/2020,Canarias,0
07_02_2020,14/02/2020,Cantabria,0
07_02_2020,14/02/2020,Castilla La Mancha,0
07_02_2020,14/02/2020,Castilla y LeÃ³n,0
07_02_2020,14/02/2020,CataluÃ±a,0
07_02_2020,14/02/2020,Ceuta,0
07_02_2020,14/02/2020,C. Valenciana,0
07_02_2020,14/02/2020,Extremadura,0
07_02_2020,14/02/2020,Galicia,0
07_02_2020,14/02/2020,Madrid,0
07_02_2020,14/02/2020,Melilla,0
07_02_2020,14/02/2020,Murcia,0
07_02_2020,14/02/2020,Navarra,0
07_02_2020,14/02/2020,PaÃ­s Vasco,0
07_02_2020,14/02/2020,La Rioja,0
07_02_2020,14/02/2020,EspaÃ±a,0
07_02_2020,15/02/2020,AndalucÃ­a,0
07_02_2020,15/02/2020,AragÃ³n,0
07_02_2020,15/02/2020,Asturias,0
07_02_2020,15/02/2020,Baleares,0
07_02_2020,15/02/2020,Canarias,0
07_02_2020,15/02/2020,Cantabria,0
07_02_2020,15/02/2020,Castilla La Mancha,0
07_02_2020,15/02/2020,Castilla y LeÃ³n,0
07_02_2020,15/02/2020,CataluÃ±a,0
07_02_2020,15/02/2020,Ceuta,0
07_02_2020,15/02/2020,C. Valenciana,0
07_02_2020,15/02/2020,Extremadura,0
07_02_2020,15/02/2020,Galicia,0
07_02_2020,15/02/2020,Madrid,0
07_02_2020,15/02/2020,Melilla,0
07_02_2020,15/02/2020,Murcia,0
07_02_2020,15/02/2020,Navarra,0
07_02_2020,15/02/2020,PaÃ­s Vasco,0
07_02_2020,15/02/2020,La Rioja,0
07_02_2020,15/02/2020,EspaÃ±a,0
07_02_2020,16/02/2020,AndalucÃ­a,0
07_02_2020,16/02/2020,AragÃ³n,0
07_02_2020,16/02/2020,Asturias,0
07_02_2020,16/02/2020,Baleares,0
07_02_2020,16/02/2020,Canarias,0
07_02_2020,16/02/2020,Cantabria,0
07_02_2020,16/02/2020,Castilla La Mancha,0
07_02_2020,16/02/2020,Castilla y LeÃ³n,0
07_02_2020,16/02/2020,CataluÃ±a,0
07_02_2020,16/02/2020,Ceuta,0
07_02_2020,16/02/2020,C. Valenciana,0
07_02_2020,16/02/2020,Extremadura,0
07_02_2020,16/02/2020,Galicia,0
07_02_2020,16/02/2020,Madrid,0
07_02_2020,16/02/2020,Melilla,0
07_02_2020,16/02/2020,Murcia,0
07_02_2020,16/02/2020,Navarra,0
07_02_2020,16/02/2020,PaÃ­s Vasco,0
07_02_2020,16/02/2020,La Rioja,0
07_02_2020,16/02/2020,EspaÃ±a,0
07_02_2020,17/02/2020,AndalucÃ­a,0
07_02_2020,17/02/2020,AragÃ³n,0
07_02_2020,17/02/2020,Asturias,0
07_02_2020,17/02/2020,Baleares,0
07_02_2020,17/02/2020,Canarias,0
07_02_2020,17/02/2020,Cantabria,0
07_02_2020,17/02/2020,Castilla La Mancha,0
07_02_2020,17/02/2020,Castilla y LeÃ³n,0
07_02_2020,17/02/2020,CataluÃ±a,0
07_02_2020,17/02/2020,Ceuta,0
07_02_2020,17/02/2020,C. Valenciana,0
07_02_2020,17/02/2020,Extremadura,0
07_02_2020,17/02/2020,Galicia,0
07_02_2020,17/02/2020,Madrid,0
07_02_2020,17/02/2020,Melilla,0
07_02_2020,17/02/2020,Murcia,0
07_02_2020,17/02/2020,Navarra,0
07_02_2020,17/02/2020,PaÃ­s Vasco,0
07_02_2020,17/02/2020,La Rioja,0
07_02_2020,17/02/2020,EspaÃ±a,0
07_02_2020,18/02/2020,AndalucÃ­a,0
07_02_2020,18/02/2020,AragÃ³n,0
07_02_2020,18/02/2020,Asturias,0
07_02_2020,18/02/2020,Baleares,0
07_02_2020,18/02/2020,Canarias,0
07_02_2020,18/02/2020,Cantabria,0
07_02_2020,18/02/2020,Castilla La Mancha,0
07_02_2020,18/02/2020,Castilla y LeÃ³n,0
07_02_2020,18/02/2020,CataluÃ±a,0
07_02_2020,18/02/2020,Ceuta,0
07_02_2020,18/02/2020,C. Valenciana,0
07_02_2020,18/02/2020,Extremadura,0
07_02_2020,18/02/2020,Galicia,0
07_02_2020,18/02/2020,Madrid,0
07_02_2020,18/02/2020,Melilla,0
07_02_2020,18/02/2020,Murcia,0
07_02_2020,18/02/2020,Navarra,0
07_02_2020,18/02/2020,PaÃ­s Vasco,0
07_02_2020,18/02/2020,La Rioja,0
07_02_2020,18/02/2020,EspaÃ±a,0
07_02_2020,19/02/2020,AndalucÃ­a,0
07_02_2020,19/02/2020,AragÃ³n,0
07_02_2020,19/02/2020,Asturias,0
07_02_2020,19/02/2020,Baleares,0
