Serie,Fecha,Lugar,Fallecidos,Semana,Cod_lugar,Mes
07_02_2020,13/02/2020,Andalucía,0,7,01,2
07_02_2020,13/02/2020,Aragón,0,7,02,2
07_02_2020,13/02/2020,Asturias,0,7,03,2
07_02_2020,13/02/2020,Baleares,0,7,04,2
07_02_2020,13/02/2020,Canarias,0,7,05,2
07_02_2020,13/02/2020,Cantabria,0,7,06,2
07_02_2020,13/02/2020,Castilla La Mancha,0,7,08,2
07_02_2020,13/02/2020,Castilla y León,0,7,07,2
07_02_2020,13/02/2020,Cataluña,0,7,09,2
07_02_2020,13/02/2020,Ceuta,0,7,18,2
07_02_2020,13/02/2020,C. Valenciana,1,7,10,2
07_02_2020,13/02/2020,Extremadura,0,7,11,2
07_02_2020,13/02/2020,Galicia,0,7,12,2
07_02_2020,13/02/2020,Madrid,0,7,13,2
07_02_2020,13/02/2020,Melilla,0,7,19,2
07_02_2020,13/02/2020,Murcia,0,7,14,2
07_02_2020,13/02/2020,Navarra,0,7,15,2
07_02_2020,13/02/2020,País Vasco,0,7,16,2
07_02_2020,13/02/2020,La Rioja,0,7,17,2
07_02_2020,13/02/2020,España,1,7,nacional,2
07_02_2020,14/02/2020,Andalucía,0,7,01,2
07_02_2020,14/02/2020,Aragón,0,7,02,2
07_02_2020,14/02/2020,Asturias,0,7,03,2
07_02_2020,14/02/2020,Baleares,0,7,04,2
07_02_2020,14/02/2020,Canarias,0,7,05,2
07_02_2020,14/02/2020,Cantabria,0,7,06,2
07_02_2020,14/02/2020,Castilla La Mancha,0,7,08,2
07_02_2020,14/02/2020,Castilla y León,0,7,07,2
07_02_2020,14/02/2020,Cataluña,0,7,09,2
07_02_2020,14/02/2020,Ceuta,0,7,18,2
07_02_2020,14/02/2020,C. Valenciana,0,7,10,2
07_02_2020,14/02/2020,Extremadura,0,7,11,2
07_02_2020,14/02/2020,Galicia,0,7,12,2
07_02_2020,14/02/2020,Madrid,0,7,13,2
07_02_2020,14/02/2020,Melilla,0,7,19,2
07_02_2020,14/02/2020,Murcia,0,7,14,2
07_02_2020,14/02/2020,Navarra,0,7,15,2
07_02_2020,14/02/2020,País Vasco,0,7,16,2
07_02_2020,14/02/2020,La Rioja,0,7,17,2
07_02_2020,14/02/2020,España,0,7,nacional,2
07_02_2020,15/02/2020,Andalucía,0,7,01,2
07_02_2020,15/02/2020,Aragón,0,7,02,2
07_02_2020,15/02/2020,Asturias,0,7,03,2
07_02_2020,15/02/2020,Baleares,0,7,04,2
07_02_2020,15/02/2020,Canarias,0,7,05,2
07_02_2020,15/02/2020,Cantabria,0,7,06,2
07_02_2020,15/02/2020,Castilla La Mancha,0,7,08,2
07_02_2020,15/02/2020,Castilla y León,0,7,07,2
07_02_2020,15/02/2020,Cataluña,0,7,09,2
07_02_2020,15/02/2020,Ceuta,0,7,18,2
07_02_2020,15/02/2020,C. Valenciana,0,7,10,2
07_02_2020,15/02/2020,Extremadura,0,7,11,2
07_02_2020,15/02/2020,Galicia,0,7,12,2
07_02_2020,15/02/2020,Madrid,0,7,13,2
07_02_2020,15/02/2020,Melilla,0,7,19,2
07_02_2020,15/02/2020,Murcia,0,7,14,2
07_02_2020,15/02/2020,Navarra,0,7,15,2
07_02_2020,15/02/2020,País Vasco,0,7,16,2
07_02_2020,15/02/2020,La Rioja,0,7,17,2
07_02_2020,15/02/2020,España,0,7,nacional,2
07_02_2020,16/02/2020,Andalucía,0,7,01,2
07_02_2020,16/02/2020,Aragón,0,7,02,2
07_02_2020,16/02/2020,Asturias,0,7,03,2
07_02_2020,16/02/2020,Baleares,0,7,04,2
07_02_2020,16/02/2020,Canarias,0,7,05,2
07_02_2020,16/02/2020,Cantabria,0,7,06,2
07_02_2020,16/02/2020,Castilla La Mancha,0,7,08,2
07_02_2020,16/02/2020,Castilla y León,0,7,07,2
07_02_2020,16/02/2020,Cataluña,0,7,09,2
07_02_2020,16/02/2020,Ceuta,0,7,18,2
07_02_2020,16/02/2020,C. Valenciana,0,7,10,2
07_02_2020,16/02/2020,Extremadura,0,7,11,2
07_02_2020,16/02/2020,Galicia,0,7,12,2
07_02_2020,16/02/2020,Madrid,0,7,13,2
07_02_2020,16/02/2020,Melilla,0,7,19,2
07_02_2020,16/02/2020,Murcia,0,7,14,2
07_02_2020,16/02/2020,Navarra,0,7,15,2
07_02_2020,16/02/2020,País Vasco,0,7,16,2
07_02_2020,16/02/2020,La Rioja,0,7,17,2
07_02_2020,16/02/2020,España,0,7,nacional,2
07_02_2020,17/02/2020,Andalucía,0,8,01,2
07_02_2020,17/02/2020,Aragón,0,8,02,2
07_02_2020,17/02/2020,Asturias,0,8,03,2
07_02_2020,17/02/2020,Baleares,0,8,04,2
07_02_2020,17/02/2020,Canarias,0,8,05,2
07_02_2020,17/02/2020,Cantabria,0,8,06,2
07_02_2020,17/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,17/02/2020,Castilla y León,0,8,07,2
07_02_2020,17/02/2020,Cataluña,0,8,09,2
07_02_2020,17/02/2020,Ceuta,0,8,18,2
07_02_2020,17/02/2020,C. Valenciana,0,8,10,2
07_02_2020,17/02/2020,Extremadura,0,8,11,2
07_02_2020,17/02/2020,Galicia,0,8,12,2
07_02_2020,17/02/2020,Madrid,0,8,13,2
07_02_2020,17/02/2020,Melilla,0,8,19,2
07_02_2020,17/02/2020,Murcia,0,8,14,2
07_02_2020,17/02/2020,Navarra,0,8,15,2
07_02_2020,17/02/2020,País Vasco,0,8,16,2
07_02_2020,17/02/2020,La Rioja,0,8,17,2
07_02_2020,17/02/2020,España,0,8,nacional,2
07_02_2020,18/02/2020,Andalucía,0,8,01,2
07_02_2020,18/02/2020,Aragón,0,8,02,2
07_02_2020,18/02/2020,Asturias,0,8,03,2
07_02_2020,18/02/2020,Baleares,0,8,04,2
07_02_2020,18/02/2020,Canarias,0,8,05,2
07_02_2020,18/02/2020,Cantabria,0,8,06,2
07_02_2020,18/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,18/02/2020,Castilla y León,0,8,07,2
07_02_2020,18/02/2020,Cataluña,0,8,09,2
07_02_2020,18/02/2020,Ceuta,0,8,18,2
07_02_2020,18/02/2020,C. Valenciana,0,8,10,2
07_02_2020,18/02/2020,Extremadura,0,8,11,2
07_02_2020,18/02/2020,Galicia,0,8,12,2
07_02_2020,18/02/2020,Madrid,0,8,13,2
07_02_2020,18/02/2020,Melilla,0,8,19,2
07_02_2020,18/02/2020,Murcia,0,8,14,2
07_02_2020,18/02/2020,Navarra,0,8,15,2
07_02_2020,18/02/2020,País Vasco,0,8,16,2
07_02_2020,18/02/2020,La Rioja,0,8,17,2
07_02_2020,18/02/2020,España,0,8,nacional,2
07_02_2020,19/02/2020,Andalucía,0,8,01,2
07_02_2020,19/02/2020,Aragón,0,8,02,2
07_02_2020,19/02/2020,Asturias,0,8,03,2
07_02_2020,19/02/2020,Baleares,0,8,04,2
07_02_2020,19/02/2020,Canarias,0,8,05,2
07_02_2020,19/02/2020,Cantabria,0,8,06,2
07_02_2020,19/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,19/02/2020,Castilla y León,0,8,07,2
07_02_2020,19/02/2020,Cataluña,0,8,09,2
07_02_2020,19/02/2020,Ceuta,0,8,18,2
07_02_2020,19/02/2020,C. Valenciana,0,8,10,2
07_02_2020,19/02/2020,Extremadura,0,8,11,2
07_02_2020,19/02/2020,Galicia,0,8,12,2
07_02_2020,19/02/2020,Madrid,0,8,13,2
07_02_2020,19/02/2020,Melilla,0,8,19,2
07_02_2020,19/02/2020,Murcia,0,8,14,2
07_02_2020,19/02/2020,Navarra,0,8,15,2
07_02_2020,19/02/2020,País Vasco,0,8,16,2
07_02_2020,19/02/2020,La Rioja,0,8,17,2
07_02_2020,19/02/2020,España,0,8,nacional,2
07_02_2020,20/02/2020,Andalucía,0,8,01,2
07_02_2020,20/02/2020,Aragón,0,8,02,2
07_02_2020,20/02/2020,Asturias,0,8,03,2
07_02_2020,20/02/2020,Baleares,0,8,04,2
07_02_2020,20/02/2020,Canarias,0,8,05,2
07_02_2020,20/02/2020,Cantabria,0,8,06,2
07_02_2020,20/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,20/02/2020,Castilla y León,0,8,07,2
07_02_2020,20/02/2020,Cataluña,0,8,09,2
07_02_2020,20/02/2020,Ceuta,0,8,18,2
07_02_2020,20/02/2020,C. Valenciana,0,8,10,2
07_02_2020,20/02/2020,Extremadura,0,8,11,2
07_02_2020,20/02/2020,Galicia,0,8,12,2
07_02_2020,20/02/2020,Madrid,0,8,13,2
07_02_2020,20/02/2020,Melilla,0,8,19,2
07_02_2020,20/02/2020,Murcia,0,8,14,2
07_02_2020,20/02/2020,Navarra,0,8,15,2
07_02_2020,20/02/2020,País Vasco,0,8,16,2
07_02_2020,20/02/2020,La Rioja,0,8,17,2
07_02_2020,20/02/2020,España,0,8,nacional,2
07_02_2020,21/02/2020,Andalucía,0,8,01,2
07_02_2020,21/02/2020,Aragón,0,8,02,2
07_02_2020,21/02/2020,Asturias,0,8,03,2
07_02_2020,21/02/2020,Baleares,0,8,04,2
07_02_2020,21/02/2020,Canarias,0,8,05,2
07_02_2020,21/02/2020,Cantabria,0,8,06,2
07_02_2020,21/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,21/02/2020,Castilla y León,0,8,07,2
07_02_2020,21/02/2020,Cataluña,0,8,09,2
07_02_2020,21/02/2020,Ceuta,0,8,18,2
07_02_2020,21/02/2020,C. Valenciana,0,8,10,2
07_02_2020,21/02/2020,Extremadura,0,8,11,2
07_02_2020,21/02/2020,Galicia,0,8,12,2
07_02_2020,21/02/2020,Madrid,0,8,13,2
07_02_2020,21/02/2020,Melilla,0,8,19,2
07_02_2020,21/02/2020,Murcia,0,8,14,2
07_02_2020,21/02/2020,Navarra,0,8,15,2
07_02_2020,21/02/2020,País Vasco,0,8,16,2
07_02_2020,21/02/2020,La Rioja,0,8,17,2
07_02_2020,21/02/2020,España,0,8,nacional,2
07_02_2020,22/02/2020,Andalucía,0,8,01,2
07_02_2020,22/02/2020,Aragón,0,8,02,2
07_02_2020,22/02/2020,Asturias,0,8,03,2
07_02_2020,22/02/2020,Baleares,0,8,04,2
07_02_2020,22/02/2020,Canarias,0,8,05,2
07_02_2020,22/02/2020,Cantabria,0,8,06,2
07_02_2020,22/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,22/02/2020,Castilla y León,0,8,07,2
07_02_2020,22/02/2020,Cataluña,0,8,09,2
07_02_2020,22/02/2020,Ceuta,0,8,18,2
07_02_2020,22/02/2020,C. Valenciana,0,8,10,2
07_02_2020,22/02/2020,Extremadura,0,8,11,2
07_02_2020,22/02/2020,Galicia,0,8,12,2
07_02_2020,22/02/2020,Madrid,0,8,13,2
07_02_2020,22/02/2020,Melilla,0,8,19,2
07_02_2020,22/02/2020,Murcia,0,8,14,2
07_02_2020,22/02/2020,Navarra,0,8,15,2
07_02_2020,22/02/2020,País Vasco,0,8,16,2
07_02_2020,22/02/2020,La Rioja,0,8,17,2
07_02_2020,22/02/2020,España,0,8,nacional,2
07_02_2020,23/02/2020,Andalucía,0,8,01,2
07_02_2020,23/02/2020,Aragón,0,8,02,2
07_02_2020,23/02/2020,Asturias,0,8,03,2
07_02_2020,23/02/2020,Baleares,0,8,04,2
07_02_2020,23/02/2020,Canarias,0,8,05,2
07_02_2020,23/02/2020,Cantabria,0,8,06,2
07_02_2020,23/02/2020,Castilla La Mancha,0,8,08,2
07_02_2020,23/02/2020,Castilla y León,0,8,07,2
07_02_2020,23/02/2020,Cataluña,0,8,09,2
07_02_2020,23/02/2020,Ceuta,0,8,18,2
07_02_2020,23/02/2020,C. Valenciana,0,8,10,2
07_02_2020,23/02/2020,Extremadura,0,8,11,2
07_02_2020,23/02/2020,Galicia,0,8,12,2
07_02_2020,23/02/2020,Madrid,0,8,13,2
07_02_2020,23/02/2020,Melilla,0,8,19,2
07_02_2020,23/02/2020,Murcia,0,8,14,2
07_02_2020,23/02/2020,Navarra,0,8,15,2
07_02_2020,23/02/2020,País Vasco,0,8,16,2
07_02_2020,23/02/2020,La Rioja,0,8,17,2
07_02_2020,23/02/2020,España,0,8,nacional,2
07_02_2020,24/02/2020,Andalucía,0,9,01,2
07_02_2020,24/02/2020,Aragón,0,9,02,2
07_02_2020,24/02/2020,Asturias,0,9,03,2
07_02_2020,24/02/2020,Baleares,0,9,04,2
07_02_2020,24/02/2020,Canarias,0,9,05,2
07_02_2020,24/02/2020,Cantabria,0,9,06,2
07_02_2020,24/02/2020,Castilla La Mancha,0,9,08,2
07_02_2020,24/02/2020,Castilla y León,0,9,07,2
07_02_2020,24/02/2020,Cataluña,0,9,09,2
07_02_2020,24/02/2020,Ceuta,0,9,18,2
07_02_2020,24/02/2020,C. Valenciana,0,9,10,2
07_02_2020,24/02/2020,Extremadura,0,9,11,2
07_02_2020,24/02/2020,Galicia,0,9,12,2
07_02_2020,24/02/2020,Madrid,0,9,13,2
07_02_2020,24/02/2020,Melilla,0,9,19,2
07_02_2020,24/02/2020,Murcia,0,9,14,2
07_02_2020,24/02/2020,Navarra,0,9,15,2
07_02_2020,24/02/2020,País Vasco,0,9,16,2
07_02_2020,24/02/2020,La Rioja,0,9,17,2
07_02_2020,24/02/2020,España,0,9,nacional,2
07_02_2020,25/02/2020,Andalucía,0,9,01,2
07_02_2020,25/02/2020,Aragón,0,9,02,2
07_02_2020,25/02/2020,Asturias,0,9,03,2
07_02_2020,25/02/2020,Baleares,0,9,04,2
07_02_2020,25/02/2020,Canarias,0,9,05,2
07_02_2020,25/02/2020,Cantabria,0,9,06,2
07_02_2020,25/02/2020,Castilla La Mancha,0,9,08,2
07_02_2020,25/02/2020,Castilla y León,0,9,07,2
07_02_2020,25/02/2020,Cataluña,0,9,09,2
07_02_2020,25/02/2020,Ceuta,0,9,18,2
07_02_2020,25/02/2020,C. Valenciana,0,9,10,2
07_02_2020,25/02/2020,Extremadura,0,9,11,2
07_02_2020,25/02/2020,Galicia,0,9,12,2
07_02_2020,25/02/2020,Madrid,0,9,13,2
07_02_2020,25/02/2020,Melilla,0,9,19,2
07_02_2020,25/02/2020,Murcia,0,9,14,2
