Fecha...CCAA,EspaÃ.a,muertes_media
13/2/2020,1,NA
14/2/2020,0,NA
15/2/2020,0,NA
16/2/2020,0,NA
17/2/2020,0,NA
18/2/2020,0,NA
19/2/2020,0,0.14
20/2/2020,0,0
21/2/2020,0,0
22/2/2020,0,0
23/2/2020,0,0
24/2/2020,0,0
25/2/2020,0,0
26/2/2020,0,0
27/2/2020,0,0
28/2/2020,0,0
29/2/2020,0,0
1/3/2020,0,0
2/3/2020,0,0
3/3/2020,1,0.14
4/3/2020,2,0.43
5/3/2020,1,0.57
6/3/2020,3,1
7/3/2020,3,1.43
8/3/2020,14,3.43
9/3/2020,16,5.71
10/3/2020,26,9.29
11/3/2020,35,14
12/3/2020,56,21.86
13/3/2020,79,32.71
14/3/2020,104,47.14
15/3/2020,129,63.57
16/3/2020,178,86.71
17/3/2020,186,109.57
18/3/2020,238,138.57
19/3/2020,314,175.43
20/3/2020,428,225.29
21/3/2020,501,282
22/3/2020,541,340.86
23/3/2020,679,412.43
24/3/2020,713,487.71
25/3/2020,809,569.29
26/3/2020,853,646.29
27/3/2020,900,713.71
28/3/2020,832,761
29/3/2020,800,798
30/3/2020,906,830.43
31/3/2020,889,855.57
1/4/2020,887,866.71
2/4/2020,840,864.86
3/4/2020,774,846.86
4/4/2020,732,832.57
5/4/2020,734,823.14
6/4/2020,752,801.14
7/4/2020,730,778.43
8/4/2020,736,756.86
9/4/2020,664,731.71
10/4/2020,669,716.71
11/4/2020,623,701.14
12/4/2020,541,673.57
13/4/2020,585,649.71
14/4/2020,602,631.43
15/4/2020,551,605
16/4/2020,482,579
17/4/2020,499,554.71
18/4/2020,434,527.71
19/4/2020,398,507.29
20/4/2020,385,478.71
21/4/2020,424,453.29
22/4/2020,339,423
23/4/2020,330,401.29
24/4/2020,329,377
25/4/2020,294,357
26/4/2020,269,338.57
27/4/2020,257,320.29
28/4/2020,259,296.71
29/4/2020,235,281.86
30/4/2020,221,266.29
1/5/2020,175,244.29
2/5/2020,198,230.57
3/5/2020,196,220.14
4/5/2020,185,209.86
5/5/2020,181,198.71
6/5/2020,151,186.71
7/5/2020,164,178.57
8/5/2020,145,174.29
9/5/2020,125,163.86
10/5/2020,110,151.57
11/5/2020,122,142.57
12/5/2020,112,132.71
13/5/2020,87,123.57
14/5/2020,85,112.29
15/5/2020,77,102.57
16/5/2020,63,93.71
17/5/2020,60,86.57
18/5/2020,71,79.29
19/5/2020,67,72.86
20/5/2020,56,68.43
21/5/2020,68,66
22/5/2020,71,65.14
23/5/2020,58,64.43
24/5/2020,55,63.71
25/5/2020,66,63
26/5/2020,56,61.43
27/5/2020,45,59.86
28/5/2020,40,55.86
29/5/2020,43,51.86
30/5/2020,43,49.71
31/5/2020,39,47.43
1/6/2020,34,42.86
2/6/2020,45,41.29
3/6/2020,38,40.29
4/6/2020,45,41
5/6/2020,23,38.14
6/6/2020,30,36.29
7/6/2020,20,33.57
8/6/2020,27,32.57
9/6/2020,13,28
10/6/2020,28,26.57
11/6/2020,24,23.57
12/6/2020,19,23
13/6/2020,19,21.43
14/6/2020,17,21
15/6/2020,20,20
16/6/2020,12,19.86
17/6/2020,23,19.14
18/6/2020,11,17.29
19/6/2020,18,17.14
20/6/2020,12,16.14
21/6/2020,15,15.86
22/6/2020,6,13.86
23/6/2020,9,13.43
24/6/2020,12,11.86
25/6/2020,11,11.86
26/6/2020,8,10.43
27/6/2020,3,9.14
28/6/2020,11,8.57
29/6/2020,9,9
30/6/2020,10,9.14
1/7/2020,10,8.86
2/7/2020,1,7.43
3/7/2020,5,7
4/7/2020,6,7.43
5/7/2020,0,5.86
6/7/2020,4,5.14
7/7/2020,3,4.14
8/7/2020,3,3.14
