ano,idmun,municipality,province,inmigrations,emigrations,net_migration
1988,01036,Laudio/Llodio,Álava,130,312,-182
1988,01059,Vitoria-Gasteiz,Álava,2268,1751,517
1988,02003,Albacete,Albacete,1090,1227,-137
1988,02009,Almansa,Albacete,261,188,73
1988,02037,Hellín,Albacete,193,339,-146
1988,02069,La Roda,Albacete,75,91,-16
1988,02081,Villarrobledo,Albacete,104,191,-87
1988,03009,Alcoy/Alcoi,Alicante,243,359,-116
1988,03014,Alicante/Alacant,Alicante,2953,1768,1185
1988,03015,Almoradí,Alicante,92,62,30
1988,03018,Altea,Alicante,143,56,87
1988,03019,Aspe,Alicante,32,55,-23
1988,03031,Benidorm,Alicante,1327,466,861
1988,03047,Calp,Alicante,245,106,139
1988,03049,Callosa de Segura,Alicante,54,56,-2
1988,03050,El Campello,Alicante,141,89,52
1988,03056,Cocentaina,Alicante,63,50,13
1988,03059,Crevillent,Alicante,93,53,40
1988,03063,Dénia,Alicante,426,221,205
1988,03065,Elche/Elx,Alicante,853,588,265
1988,03066,Elda,Alicante,211,177,34
1988,03079,Ibi,Alicante,123,102,21
1988,03082,Jávea/Xàbia,Alicante,245,95,150
1988,03089,Monóvar/Monòver,Alicante,21,18,3
1988,03093,Novelda,Alicante,85,87,-2
1988,03099,Orihuela,Alicante,133,364,-231
1988,03104,Petrer,Alicante,74,76,-2
1988,03119,Sant Joan d'Alacant,Alicante,178,88,90
1988,03121,Santa Pola,Alicante,285,55,230
1988,03122,San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,194,145,49
1988,03133,Torrevieja,Alicante,981,203,778
1988,03139,Villajoyosa/La Vila Joiosa,Alicante,258,181,77
1988,03140,Villena,Alicante,129,134,-5
1988,04003,Adra,Almería,169,178,-9
1988,04006,Albox,Almería,27,61,-34
1988,04013,Almería,Almería,1254,1256,-2
1988,04029,Berja,Almería,93,58,35
1988,04053,Huércal-Overa,Almería,136,137,-1
1988,04066,Níjar,Almería,78,57,21
1988,04079,Roquetas de Mar,Almería,761,276,485
1988,04102,Vícar,Almería,239,84,155
1988,04902,El Ejido,Almería,626,254,372
1988,05019,Ávila,Ávila,523,528,-5
1988,06011,Almendralejo,Badajoz,130,306,-176
1988,06014,Azuaga,Badajoz,37,90,-53
1988,06015,Badajoz,Badajoz,829,1368,-539
1988,06044,Don Benito,Badajoz,233,271,-38
1988,06083,Mérida,Badajoz,502,618,-116
1988,06088,Montijo,Badajoz,108,120,-12
1988,06095,Olivenza,Badajoz,57,120,-63
1988,06149,Villafranca de los Barros,Badajoz,54,80,-26
1988,06153,Villanueva de la Serena,Badajoz,106,269,-163
1988,06158,Zafra,Badajoz,106,136,-30
1988,07011,Calvià,Baleares,950,297,653
