ano,provbaja,origin_province,provalta,destination_province,migration
1988,01,Álava,02,Albacete,12
1988,01,Álava,03,Alicante,93
1988,01,Álava,04,Almería,16
1988,01,Álava,05,Ávila,2
1988,01,Álava,06,Badajoz,20
1988,01,Álava,07,Baleares,47
1988,01,Álava,08,Barcelona,55
1988,01,Álava,09,Burgos,161
1988,01,Álava,10,Cáceres,68
1988,01,Álava,11,Cádiz,42
1988,01,Álava,12,Castellón,15
1988,01,Álava,13,Ciudad Real,11
1988,01,Álava,14,Córdoba,20
1988,01,Álava,15,A Coruña,25
1988,01,Álava,16,Cuenca,4
1988,01,Álava,17,Girona,8
1988,01,Álava,18,Granada,19
1988,01,Álava,19,Guadalajara,1
1988,01,Álava,20,Guipúzcoa,144
1988,01,Álava,21,Huelva,12
1988,01,Álava,22,Huesca,18
1988,01,Álava,23,Jaén,18
1988,01,Álava,24,León,30
1988,01,Álava,25,Lleida,7
1988,01,Álava,26,La Rioja,200
1988,01,Álava,27,Lugo,33
1988,01,Álava,28,Madrid,222
1988,01,Álava,29,Málaga,77
1988,01,Álava,30,Murcia,21
1988,01,Álava,31,Navarra,104
1988,01,Álava,32,Ourense,28
1988,01,Álava,33,Asturias,16
1988,01,Álava,34,Palencia,36
1988,01,Álava,35,Las Palmas,81
1988,01,Álava,36,Pontevedra,25
1988,01,Álava,37,Salamanca,45
1988,01,Álava,38,Santa Cruz de Tenerife,46
1988,01,Álava,39,Cantabria,66
1988,01,Álava,40,Segovia,10
1988,01,Álava,41,Sevilla,40
1988,01,Álava,42,Soria,7
1988,01,Álava,43,Tarragona,16
1988,01,Álava,44,Teruel,2
1988,01,Álava,45,Toledo,15
1988,01,Álava,46,Valencia,32
1988,01,Álava,47,Valladolid,78
1988,01,Álava,48,Vizcaya,401
1988,01,Álava,49,Zamora,17
1988,01,Álava,50,Zaragoza,63
1988,01,Álava,51,Ceuta,7
1988,01,Álava,52,Melilla,15
1988,02,Albacete,01,Álava,8
1988,02,Albacete,03,Alicante,654
1988,02,Albacete,04,Almería,22
1988,02,Albacete,05,Ávila,2
1988,02,Albacete,06,Badajoz,5
1988,02,Albacete,07,Baleares,455
1988,02,Albacete,08,Barcelona,165
1988,02,Albacete,09,Burgos,5
1988,02,Albacete,10,Cáceres,17
1988,02,Albacete,11,Cádiz,15
1988,02,Albacete,12,Castellón,99
1988,02,Albacete,13,Ciudad Real,85
1988,02,Albacete,14,Córdoba,30
1988,02,Albacete,15,A Coruña,5
1988,02,Albacete,16,Cuenca,70
1988,02,Albacete,17,Girona,30
1988,02,Albacete,18,Granada,39
1988,02,Albacete,19,Guadalajara,23
1988,02,Albacete,20,Guipúzcoa,7
1988,02,Albacete,21,Huelva,9
1988,02,Albacete,22,Huesca,10
1988,02,Albacete,23,Jaén,60
1988,02,Albacete,24,León,15
1988,02,Albacete,25,Lleida,20
1988,02,Albacete,26,La Rioja,15
1988,02,Albacete,27,Lugo,3
1988,02,Albacete,28,Madrid,318
1988,02,Albacete,29,Málaga,19
1988,02,Albacete,30,Murcia,425
1988,02,Albacete,31,Navarra,5
1988,02,Albacete,32,Ourense,4
1988,02,Albacete,33,Asturias,9
1988,02,Albacete,34,Palencia,4
1988,02,Albacete,35,Las Palmas,374
1988,02,Albacete,36,Pontevedra,9
1988,02,Albacete,37,Salamanca,24
1988,02,Albacete,38,Santa Cruz de Tenerife,50
1988,02,Albacete,39,Cantabria,6
1988,02,Albacete,40,Segovia,5
1988,02,Albacete,41,Sevilla,26
1988,02,Albacete,42,Soria,4
1988,02,Albacete,43,Tarragona,53
1988,02,Albacete,44,Teruel,11
1988,02,Albacete,45,Toledo,34
1988,02,Albacete,46,Valencia,512
1988,02,Albacete,47,Valladolid,8
1988,02,Albacete,48,Vizcaya,24
1988,02,Albacete,49,Zamora,8
1988,02,Albacete,50,Zaragoza,23
1988,02,Albacete,51,Ceuta,8
1988,02,Albacete,52,Melilla,5
1988,03,Alicante,01,Álava,15
1988,03,Alicante,02,Albacete,392
1988,03,Alicante,04,Almería,144
1988,03,Alicante,05,Ávila,9
1988,03,Alicante,06,Badajoz,57
1988,03,Alicante,07,Baleares,339
1988,03,Alicante,08,Barcelona,258
1988,03,Alicante,09,Burgos,10
1988,03,Alicante,10,Cáceres,28
1988,03,Alicante,11,Cádiz,89
1988,03,Alicante,12,Castellón,130
1988,03,Alicante,13,Ciudad Real,116
1988,03,Alicante,14,Córdoba,111
1988,03,Alicante,15,A Coruña,48
1988,03,Alicante,16,Cuenca,25
1988,03,Alicante,17,Girona,67
1988,03,Alicante,18,Granada,263
1988,03,Alicante,19,Guadalajara,7
1988,03,Alicante,20,Guipúzcoa,58
1988,03,Alicante,21,Huelva,16
1988,03,Alicante,22,Huesca,6
1988,03,Alicante,23,Jaén,235
1988,03,Alicante,24,León,23
1988,03,Alicante,25,Lleida,25
1988,03,Alicante,26,La Rioja,37
1988,03,Alicante,27,Lugo,18
1988,03,Alicante,28,Madrid,659
1988,03,Alicante,29,Málaga,133
1988,03,Alicante,30,Murcia,1065
1988,03,Alicante,31,Navarra,33
1988,03,Alicante,32,Ourense,9
1988,03,Alicante,33,Asturias,72
1988,03,Alicante,34,Palencia,13
1988,03,Alicante,35,Las Palmas,239
1988,03,Alicante,36,Pontevedra,45
1988,03,Alicante,37,Salamanca,26
1988,03,Alicante,38,Santa Cruz de Tenerife,145
1988,03,Alicante,39,Cantabria,63
1988,03,Alicante,40,Segovia,4
1988,03,Alicante,41,Sevilla,136
1988,03,Alicante,42,Soria,16
1988,03,Alicante,43,Tarragona,55
1988,03,Alicante,44,Teruel,12
1988,03,Alicante,45,Toledo,47
1988,03,Alicante,46,Valencia,1341
1988,03,Alicante,47,Valladolid,72
1988,03,Alicante,48,Vizcaya,84
1988,03,Alicante,49,Zamora,11
1988,03,Alicante,50,Zaragoza,58
1988,03,Alicante,51,Ceuta,23
1988,03,Alicante,52,Melilla,32
1988,04,Almería,01,Álava,4
1988,04,Almería,02,Albacete,13
1988,04,Almería,03,Alicante,159
1988,04,Almería,05,Ávila,1
1988,04,Almería,06,Badajoz,15
1988,04,Almería,07,Baleares,187
1988,04,Almería,08,Barcelona,614
1988,04,Almería,09,Burgos,7
1988,04,Almería,10,Cáceres,7
1988,04,Almería,11,Cádiz,81
1988,04,Almería,12,Castellón,34
1988,04,Almería,13,Ciudad Real,17
1988,04,Almería,14,Córdoba,37
1988,04,Almería,15,A Coruña,10
1988,04,Almería,16,Cuenca,5
1988,04,Almería,17,Girona,90
1988,04,Almería,18,Granada,619
1988,04,Almería,19,Guadalajara,5
1988,04,Almería,20,Guipúzcoa,7
1988,04,Almería,21,Huelva,33
1988,04,Almería,22,Huesca,7
1988,04,Almería,23,Jaén,81
1988,04,Almería,24,León,3
1988,04,Almería,25,Lleida,40
1988,04,Almería,26,La Rioja,7
1988,04,Almería,27,Lugo,2
1988,04,Almería,28,Madrid,317
1988,04,Almería,29,Málaga,194
1988,04,Almería,30,Murcia,347
1988,04,Almería,31,Navarra,18
1988,04,Almería,33,Asturias,11
1988,04,Almería,34,Palencia,1
1988,04,Almería,35,Las Palmas,146
1988,04,Almería,36,Pontevedra,4
1988,04,Almería,37,Salamanca,10
1988,04,Almería,38,Santa Cruz de Tenerife,55
1988,04,Almería,39,Cantabria,2
1988,04,Almería,40,Segovia,3
1988,04,Almería,41,Sevilla,115
1988,04,Almería,42,Soria,1
1988,04,Almería,43,Tarragona,88
1988,04,Almería,44,Teruel,4
1988,04,Almería,45,Toledo,25
1988,04,Almería,46,Valencia,127
1988,04,Almería,47,Valladolid,6
1988,04,Almería,48,Vizcaya,23
1988,04,Almería,49,Zamora,2
1988,04,Almería,50,Zaragoza,26
1988,04,Almería,51,Ceuta,23
1988,04,Almería,52,Melilla,92
1988,05,Ávila,01,Álava,2
1988,05,Ávila,02,Albacete,9
1988,05,Ávila,03,Alicante,26
1988,05,Ávila,04,Almería,18
1988,05,Ávila,06,Badajoz,15
1988,05,Ávila,07,Baleares,40
1988,05,Ávila,08,Barcelona,54
1988,05,Ávila,09,Burgos,16
1988,05,Ávila,10,Cáceres,110
1988,05,Ávila,11,Cádiz,9
1988,05,Ávila,12,Castellón,9
1988,05,Ávila,13,Ciudad Real,7
1988,05,Ávila,14,Córdoba,4
1988,05,Ávila,15,A Coruña,13
1988,05,Ávila,16,Cuenca,1
1988,05,Ávila,17,Girona,28
1988,05,Ávila,18,Granada,18
1988,05,Ávila,19,Guadalajara,17
1988,05,Ávila,20,Guipúzcoa,16
1988,05,Ávila,21,Huelva,8
1988,05,Ávila,22,Huesca,5
1988,05,Ávila,23,Jaén,5
1988,05,Ávila,24,León,16
1988,05,Ávila,25,Lleida,7
1988,05,Ávila,26,La Rioja,10
1988,05,Ávila,27,Lugo,7
1988,05,Ávila,28,Madrid,1231
1988,05,Ávila,29,Málaga,17
1988,05,Ávila,30,Murcia,16
1988,05,Ávila,31,Navarra,5
1988,05,Ávila,33,Asturias,25
1988,05,Ávila,34,Palencia,8
1988,05,Ávila,35,Las Palmas,28
1988,05,Ávila,36,Pontevedra,8
1988,05,Ávila,37,Salamanca,125
1988,05,Ávila,38,Santa Cruz de Tenerife,16
1988,05,Ávila,39,Cantabria,15
1988,05,Ávila,40,Segovia,39
1988,05,Ávila,41,Sevilla,16
1988,05,Ávila,42,Soria,4
1988,05,Ávila,43,Tarragona,12
1988,05,Ávila,44,Teruel,2
1988,05,Ávila,45,Toledo,73
1988,05,Ávila,46,Valencia,13
1988,05,Ávila,47,Valladolid,109
1988,05,Ávila,48,Vizcaya,15
1988,05,Ávila,49,Zamora,17
1988,05,Ávila,50,Zaragoza,13
1988,05,Ávila,51,Ceuta,2
1988,05,Ávila,52,Melilla,2
1988,06,Badajoz,01,Álava,13
1988,06,Badajoz,02,Albacete,14
1988,06,Badajoz,03,Alicante,121
1988,06,Badajoz,04,Almería,26
1988,06,Badajoz,05,Ávila,14
1988,06,Badajoz,07,Baleares,1045
1988,06,Badajoz,08,Barcelona,851
1988,06,Badajoz,09,Burgos,18
1988,06,Badajoz,10,Cáceres,355
1988,06,Badajoz,11,Cádiz,156
1988,06,Badajoz,12,Castellón,51
1988,06,Badajoz,13,Ciudad Real,75
1988,06,Badajoz,14,Córdoba,134
1988,06,Badajoz,15,A Coruña,19
1988,06,Badajoz,16,Cuenca,13
1988,06,Badajoz,17,Girona,219
1988,06,Badajoz,18,Granada,59
1988,06,Badajoz,19,Guadalajara,43
1988,06,Badajoz,20,Guipúzcoa,85
1988,06,Badajoz,21,Huelva,207
1988,06,Badajoz,22,Huesca,13
1988,06,Badajoz,23,Jaén,20
1988,06,Badajoz,24,León,16
1988,06,Badajoz,25,Lleida,54
1988,06,Badajoz,26,La Rioja,28
1988,06,Badajoz,27,Lugo,16
1988,06,Badajoz,28,Madrid,1822
1988,06,Badajoz,29,Málaga,114
1988,06,Badajoz,30,Murcia,44
1988,06,Badajoz,31,Navarra,57
1988,06,Badajoz,32,Ourense,1
1988,06,Badajoz,33,Asturias,27
1988,06,Badajoz,34,Palencia,2
1988,06,Badajoz,35,Las Palmas,299
1988,06,Badajoz,36,Pontevedra,10
1988,06,Badajoz,37,Salamanca,63
1988,06,Badajoz,38,Santa Cruz de Tenerife,82
1988,06,Badajoz,39,Cantabria,28
1988,06,Badajoz,40,Segovia,14
1988,06,Badajoz,41,Sevilla,593
1988,06,Badajoz,42,Soria,5
1988,06,Badajoz,43,Tarragona,138
1988,06,Badajoz,44,Teruel,3
1988,06,Badajoz,45,Toledo,122
1988,06,Badajoz,46,Valencia,122
1988,06,Badajoz,47,Valladolid,55
1988,06,Badajoz,48,Vizcaya,72
1988,06,Badajoz,49,Zamora,13
1988,06,Badajoz,50,Zaragoza,90
1988,06,Badajoz,51,Ceuta,21
1988,06,Badajoz,52,Melilla,8
1988,07,Baleares,01,Álava,7
1988,07,Baleares,02,Albacete,96
1988,07,Baleares,03,Alicante,261
1988,07,Baleares,04,Almería,169
1988,07,Baleares,05,Ávila,11
1988,07,Baleares,06,Badajoz,120
1988,07,Baleares,08,Barcelona,766
1988,07,Baleares,09,Burgos,14
1988,07,Baleares,10,Cáceres,61
1988,07,Baleares,11,Cádiz,125
1988,07,Baleares,12,Castellón,69
1988,07,Baleares,13,Ciudad Real,81
1988,07,Baleares,14,Córdoba,190
1988,07,Baleares,15,A Coruña,59
1988,07,Baleares,16,Cuenca,38
1988,07,Baleares,17,Girona,79
1988,07,Baleares,18,Granada,406
1988,07,Baleares,19,Guadalajara,7
1988,07,Baleares,20,Guipúzcoa,27
1988,07,Baleares,21,Huelva,49
1988,07,Baleares,22,Huesca,22
1988,07,Baleares,23,Jaén,151
1988,07,Baleares,24,León,31
1988,07,Baleares,25,Lleida,63
1988,07,Baleares,26,La Rioja,19
1988,07,Baleares,28,Madrid,557
1988,07,Baleares,29,Málaga,164
1988,07,Baleares,30,Murcia,231
1988,07,Baleares,31,Navarra,29
1988,07,Baleares,32,Ourense,4
1988,07,Baleares,33,Asturias,58
1988,07,Baleares,34,Palencia,16
1988,07,Baleares,35,Las Palmas,326
1988,07,Baleares,36,Pontevedra,51
1988,07,Baleares,37,Salamanca,34
1988,07,Baleares,38,Santa Cruz de Tenerife,176
1988,07,Baleares,39,Cantabria,15
1988,07,Baleares,40,Segovia,16
1988,07,Baleares,41,Sevilla,372
1988,07,Baleares,42,Soria,6
1988,07,Baleares,43,Tarragona,96
1988,07,Baleares,44,Teruel,6
1988,07,Baleares,45,Toledo,25
1988,07,Baleares,46,Valencia,597
1988,07,Baleares,47,Valladolid,34
1988,07,Baleares,48,Vizcaya,44
1988,07,Baleares,49,Zamora,16
1988,07,Baleares,50,Zaragoza,93
1988,07,Baleares,51,Ceuta,4
1988,07,Baleares,52,Melilla,15
1988,08,Barcelona,01,Álava,52
1988,08,Barcelona,02,Albacete,141
1988,08,Barcelona,03,Alicante,611
1988,08,Barcelona,04,Almería,716
1988,08,Barcelona,05,Ávila,43
1988,08,Barcelona,06,Badajoz,618
1988,08,Barcelona,07,Baleares,1693
1988,08,Barcelona,09,Burgos,96
1988,08,Barcelona,10,Cáceres,149
1988,08,Barcelona,11,Cádiz,548
1988,08,Barcelona,12,Castellón,477
1988,08,Barcelona,13,Ciudad Real,286
1988,08,Barcelona,14,Córdoba,785
1988,08,Barcelona,15,A Coruña,184
1988,08,Barcelona,16,Cuenca,150
1988,08,Barcelona,17,Girona,3648
1988,08,Barcelona,18,Granada,1053
1988,08,Barcelona,19,Guadalajara,98
1988,08,Barcelona,20,Guipúzcoa,65
1988,08,Barcelona,21,Huelva,322
1988,08,Barcelona,22,Huesca,390
1988,08,Barcelona,23,Jaén,587
1988,08,Barcelona,24,León,193
1988,08,Barcelona,25,Lleida,1146
1988,08,Barcelona,26,La Rioja,108
1988,08,Barcelona,27,Lugo,167
1988,08,Barcelona,28,Madrid,1619
1988,08,Barcelona,29,Málaga,817
1988,08,Barcelona,30,Murcia,589
1988,08,Barcelona,31,Navarra,203
1988,08,Barcelona,32,Ourense,151
1988,08,Barcelona,33,Asturias,151
1988,08,Barcelona,34,Palencia,26
1988,08,Barcelona,35,Las Palmas,468
1988,08,Barcelona,36,Pontevedra,178
1988,08,Barcelona,37,Salamanca,129
1988,08,Barcelona,38,Santa Cruz de Tenerife,353
1988,08,Barcelona,39,Cantabria,94
1988,08,Barcelona,40,Segovia,32
1988,08,Barcelona,41,Sevilla,1113
1988,08,Barcelona,42,Soria,79
1988,08,Barcelona,43,Tarragona,3162
1988,08,Barcelona,44,Teruel,232
1988,08,Barcelona,45,Toledo,123
1988,08,Barcelona,46,Valencia,666
1988,08,Barcelona,47,Valladolid,208
1988,08,Barcelona,48,Vizcaya,129
1988,08,Barcelona,49,Zamora,86
1988,08,Barcelona,50,Zaragoza,784
1988,08,Barcelona,51,Ceuta,36
1988,08,Barcelona,52,Melilla,59
1988,09,Burgos,01,Álava,317
1988,09,Burgos,02,Albacete,11
1988,09,Burgos,03,Alicante,86
1988,09,Burgos,04,Almería,17
1988,09,Burgos,05,Ávila,7
