ano,idprov,province,inmigrations,emigrations,net_migration
1988,01,Álava,2856,2551,305
1988,02,Albacete,2613,3836,-1223
1988,03,Alicante,11662,6919,4743
1988,04,Almería,4639,3725,914
1988,05,Ávila,1608,2281,-673
1988,06,Badajoz,4170,7470,-3300
1988,07,Baleares,15272,5906,9366
1988,08,Barcelona,20677,25813,-5136
1988,09,Burgos,2497,3679,-1182
1988,10,Cáceres,3624,5625,-2001
1988,11,Cádiz,6332,8127,-1795
1988,12,Castellón,3986,2157,1829
1988,13,Ciudad Real,3664,5260,-1596
1988,14,Córdoba,4901,6958,-2057
1988,15,A Coruña,5046,6149,-1103
1988,16,Cuenca,1622,2899,-1277
1988,17,Girona,8290,4181,4109
1988,18,Granada,7105,8226,-1121
1988,19,Guadalajara,1932,2334,-402
1988,20,Guipúzcoa,2537,7182,-4645
1988,21,Huelva,3038,2674,364
1988,22,Huesca,1801,1869,-68
1988,23,Jaén,4107,7642,-3535
1988,24,León,3141,5230,-2089
1988,25,Lleida,2821,2853,-32
1988,26,La Rioja,2703,2195,508
1988,27,Lugo,1933,2284,-351
1988,28,Madrid,37311,29651,7660
1988,29,Málaga,9349,5730,3619
1988,30,Murcia,6548,5672,876
1988,31,Navarra,3686,3250,436
1988,32,Ourense,1573,2759,-1186
1988,33,Asturias,3701,4994,-1293
1988,34,Palencia,1690,2209,-519
1988,35,Las Palmas,12291,5475,6816
1988,36,Pontevedra,3866,5059,-1193
1988,37,Salamanca,2803,3908,-1105
1988,38,Santa Cruz de Tenerife,6856,3693,3163
1988,39,Cantabria,2595,2862,-267
1988,40,Segovia,1347,1491,-144
1988,41,Sevilla,9272,8335,937
1988,42,Soria,841,1238,-397
1988,43,Tarragona,7480,5046,2434
1988,44,Teruel,1153,2106,-953
1988,45,Toledo,4290,4776,-486
1988,46,Valencia,10237,10993,-756
1988,47,Valladolid,4777,4523,254
1988,48,Vizcaya,4521,11203,-6682
1988,49,Zamora,1498,2358,-860
1988,50,Zaragoza,6052,4881,1171
1988,51,Ceuta,1080,1092,-12
1988,52,Melilla,984,1049,-65
1989,01,Álava,3313,2554,759
1989,02,Albacete,3017,4316,-1299
1989,03,Alicante,13351,8697,4654
1989,04,Almería,5225,4143,1082
1989,05,Ávila,1751,3107,-1356
1989,06,Badajoz,4847,8684,-3837
1989,07,Baleares,15351,8142,7209
1989,08,Barcelona,22503,28220,-5717
1989,09,Burgos,3022,4131,-1109
1989,10,Cáceres,4066,6645,-2579
1989,11,Cádiz,7083,9077,-1994
1989,12,Castellón,4357,2520,1837
1989,13,Ciudad Real,3422,6140,-2718
1989,14,Córdoba,5186,7662,-2476
1989,15,A Coruña,6372,6298,74
1989,16,Cuenca,1876,3460,-1584
1989,17,Girona,9530,4613,4917
1989,18,Granada,8414,8811,-397
1989,19,Guadalajara,2371,2313,58
1989,20,Guipúzcoa,3241,7184,-3943
1989,21,Huelva,3062,3005,57
1989,22,Huesca,2112,2081,31
1989,23,Jaén,5309,9576,-4267
1989,24,León,3434,5912,-2478
1989,25,Lleida,3198,2786,412
1989,26,La Rioja,2455,2533,-78
1989,27,Lugo,2345,2896,-551
1989,28,Madrid,42893,34207,8686
1989,29,Málaga,11015,6150,4865
1989,30,Murcia,8568,6395,2173
1989,31,Navarra,4304,3632,672
1989,32,Ourense,1939,3303,-1364
1989,33,Asturias,4882,5692,-810
1989,34,Palencia,1629,2385,-756
1989,35,Las Palmas,11684,7680,4004
1989,36,Pontevedra,4410,5453,-1043
1989,37,Salamanca,3458,4161,-703
1989,38,Santa Cruz de Tenerife,6988,4829,2159
1989,39,Cantabria,3487,3352,135
1989,40,Segovia,1496,2158,-662
1989,41,Sevilla,11398,9165,2233
1989,42,Soria,900,1352,-452
1989,43,Tarragona,7633,4996,2637
1989,44,Teruel,1341,2012,-671
