ID;Fechas;Destino;Lugar;Motivo;Medio transporte;Alojamiento;Transporte;Manutención;Otros;Persona;Año
1;05/03/13 al 05/03/13;Barcelona;España;Asistencia a entrevista con SG de Presidencia de la Generalidad de Cataluña;Tren Ave preferente;;218,36;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
2;20/04/13 al 22/04/13;Barcelona;España;Firma convenio Marca España con Federación Española de Tenis;Tren Ave;359,41;230,35;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
3;30/04/13 al 11/05/13;Estados Unidos;Extranjero;Acompañamiento Sr. Ministro;Avión;574,07;4.113,06;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
4;04/06/13 al 05/06/13;Bruselas;Extranjero;Asistencia al acto de presentación de Marca España en Parlamento Europeo;Avion Oficial y Regular;;7,65;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
5;07/06/13 al 07/06/13;Barcelona;España;Asistencia a Conferencia para presentación del informe de reputación de España en el mundo 2013;Avión Turista;;379,92;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
6;18/06/13 al 18/06/13;Santander;España;Ponenencia en curso de la UIMP , competitividad y marca España. Organizado por la Asociación periodistas información Económica;Avión Turista;;;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
7;24/06/13 al 25/06/13;Sevilla;España;Presentación de la Marca España en Observatorio económico de Andalucia y Club Antares de Sevilla;Tren Ave preferente;;155,44;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
8;25/06/13 al 27/06/13;Reino Unido, Londres;Extranjero;Promoción Marca España. Bussiness School y Camara de comercio Española;Avión preferente;335,67;1.256,30;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
9;03/07/13 al 04/07/13;Barcelona;España;Asistencia como Ponente FORUM EUROPA TRIBUNA CATALUNYA;Avión;;336,50;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
10;05/07/13 al 07/07/13;Marsella;Extranjero; Intervención sobre industrialización el la Provenza;Avión;;346,47;;;Carlos Espinosa de los Monteros y Bernaldo de Quirós;2013
